exp,verb,frameNum,uid,gender,cond,pronoun,sent,target
simple,understood,0,0_M_him,m,Match,obj,Gerald understood,him
simple,understood,0,0_M_his,m,Match,poss,Gerald understood,his
simple,understood,0,0_F_him,f,Mismatch,obj,Ann understood,him
simple,understood,0,0_F_his,f,Mismatch,poss,Ann understood,his
simple,visited,1,1_M_him,m,Match,obj,This boy visited,him
simple,visited,1,1_M_his,m,Match,poss,This boy visited,his
simple,visited,1,1_F_him,f,Mismatch,obj,Judy visited,him
simple,visited,1,1_F_his,f,Mismatch,poss,Judy visited,his
simple,can't astound,2,2_M_him,m,Match,obj,Vincent can't astound,him
simple,can't astound,2,2_M_his,m,Match,poss,Vincent can't astound,his
simple,can't astound,2,2_F_him,f,Mismatch,obj,Sara can't astound,him
simple,can't astound,2,2_F_his,f,Mismatch,poss,Sara can't astound,his
simple,fired,3,3_M_him,m,Match,obj,Marcus fired,him
simple,fired,3,3_M_his,m,Match,poss,Marcus fired,his
simple,fired,3,3_F_him,f,Mismatch,obj,Naomi fired,him
simple,fired,3,3_F_his,f,Mismatch,poss,Naomi fired,his
simple,returns to,4,4_M_him,m,Match,obj,Eric returns to,him
simple,returns to,4,4_M_his,m,Match,poss,Eric returns to,his
simple,returns to,4,4_F_him,f,Mismatch,obj,Tracy returns to,him
simple,returns to,4,4_F_his,f,Mismatch,poss,Tracy returns to,his
simple,wasn't alarming,5,5_M_him,m,Match,obj,Scott wasn't alarming,him
simple,wasn't alarming,5,5_M_his,m,Match,poss,Scott wasn't alarming,his
simple,wasn't alarming,5,5_F_him,f,Mismatch,obj,Alice wasn't alarming,him
simple,wasn't alarming,5,5_F_his,f,Mismatch,poss,Alice wasn't alarming,his
simple,was investigating,6,6_M_him,m,Match,obj,Adam was investigating,him
simple,was investigating,6,6_M_his,m,Match,poss,Adam was investigating,his
simple,was investigating,6,6_F_him,f,Mismatch,obj,Victoria was investigating,him
simple,was investigating,6,6_F_his,f,Mismatch,poss,Victoria was investigating,his
simple,can reference,7,7_M_him,m,Match,obj,This husband can reference,him
simple,can reference,7,7_M_his,m,Match,poss,This husband can reference,his
simple,can reference,7,7_F_him,f,Mismatch,obj,Jodi can reference,him
simple,can reference,7,7_F_his,f,Mismatch,poss,Jodi can reference,his
simple,didn't reference,8,8_M_him,m,Match,obj,Guy didn't reference,him
simple,didn't reference,8,8_M_his,m,Match,poss,Guy didn't reference,his
simple,didn't reference,8,8_F_him,f,Mismatch,obj,Kristen didn't reference,him
simple,didn't reference,8,8_F_his,f,Mismatch,poss,Kristen didn't reference,his
simple,forgave,9,9_M_him,m,Match,obj,Curtis forgave,him
simple,forgave,9,9_M_his,m,Match,poss,Curtis forgave,his
simple,forgave,9,9_F_him,f,Mismatch,obj,Jill forgave,him
simple,forgave,9,9_F_his,f,Mismatch,poss,Jill forgave,his
simple,astounds,10,10_M_him,m,Match,obj,Mark astounds,him
simple,astounds,10,10_M_his,m,Match,poss,Mark astounds,his
simple,astounds,10,10_F_him,f,Mismatch,obj,Tracy astounds,him
simple,astounds,10,10_F_his,f,Mismatch,poss,Tracy astounds,his
simple,isn't shocking,11,11_M_him,m,Match,obj,Aaron isn't shocking,him
simple,isn't shocking,11,11_M_his,m,Match,poss,Aaron isn't shocking,his
simple,isn't shocking,11,11_F_him,f,Mismatch,obj,The woman isn't shocking,him
simple,isn't shocking,11,11_F_his,f,Mismatch,poss,The woman isn't shocking,his
simple,has boasted about,12,12_M_him,m,Match,obj,Larry has boasted about,him
simple,has boasted about,12,12_M_his,m,Match,poss,Larry has boasted about,his
simple,has boasted about,12,12_F_him,f,Mismatch,obj,Helen has boasted about,him
simple,has boasted about,12,12_F_his,f,Mismatch,poss,Helen has boasted about,his
simple,leads,13,13_M_him,m,Match,obj,Brett leads,him
simple,leads,13,13_M_his,m,Match,poss,Brett leads,his
simple,leads,13,13_F_him,f,Mismatch,obj,That lady leads,him
simple,leads,13,13_F_his,f,Mismatch,poss,That lady leads,his
simple,didn't shake,14,14_M_him,m,Match,obj,Robert didn't shake,him
simple,didn't shake,14,14_M_his,m,Match,poss,Robert didn't shake,his
simple,didn't shake,14,14_F_him,f,Mismatch,obj,Carmen didn't shake,him
simple,didn't shake,14,14_F_his,f,Mismatch,poss,Carmen didn't shake,his
simple,doesn't observe,15,15_M_him,m,Match,obj,Bill doesn't observe,him
simple,doesn't observe,15,15_M_his,m,Match,poss,Bill doesn't observe,his
simple,doesn't observe,15,15_F_him,f,Mismatch,obj,Heather doesn't observe,him
simple,doesn't observe,15,15_F_his,f,Mismatch,poss,Heather doesn't observe,his
simple,can't find,16,16_M_him,m,Match,obj,Peter can't find,him
simple,can't find,16,16_M_his,m,Match,poss,Peter can't find,his
simple,can't find,16,16_F_him,f,Mismatch,obj,Holly can't find,him
simple,can't find,16,16_F_his,f,Mismatch,poss,Holly can't find,his
simple,should hide,17,17_M_him,m,Match,obj,Joel should hide,him
simple,should hide,17,17_M_his,m,Match,poss,Joel should hide,his
simple,should hide,17,17_F_him,f,Mismatch,obj,Kirsten should hide,him
simple,should hide,17,17_F_his,f,Mismatch,poss,Kirsten should hide,his
simple,had praised,18,18_M_him,m,Match,obj,Carl had praised,him
simple,had praised,18,18_M_his,m,Match,poss,Carl had praised,his
simple,had praised,18,18_F_him,f,Mismatch,obj,Teresa had praised,him
simple,had praised,18,18_F_his,f,Mismatch,poss,Teresa had praised,his
simple,argued about,19,19_M_him,m,Match,obj,Benjamin argued about,him
simple,argued about,19,19_M_his,m,Match,poss,Benjamin argued about,his
simple,argued about,19,19_F_him,f,Mismatch,obj,Jodi argued about,him
simple,argued about,19,19_F_his,f,Mismatch,poss,Jodi argued about,his
simple,isn't harming,20,20_M_him,m,Match,obj,Aaron isn't harming,him
simple,isn't harming,20,20_M_his,m,Match,poss,Aaron isn't harming,his
simple,isn't harming,20,20_F_him,f,Mismatch,obj,Nina isn't harming,him
simple,isn't harming,20,20_F_his,f,Mismatch,poss,Nina isn't harming,his
simple,would hurt,21,21_M_him,m,Match,obj,William would hurt,him
simple,would hurt,21,21_M_his,m,Match,poss,William would hurt,his
simple,would hurt,21,21_F_him,f,Mismatch,obj,Christine would hurt,him
