exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-neo-2.7B_surp
simple,understood,0,0_M_him,m,Match,obj,Gerald understood,him,7.940097808837891
simple,understood,0,0_M_his,m,Match,poss,Gerald understood,his,5.625203609466553
simple,understood,0,0_F_him,f,Mismatch,obj,Ann understood,him,6.802177429199219
simple,understood,0,0_F_his,f,Mismatch,poss,Ann understood,his,5.817007541656494
simple,visited,1,1_M_him,m,Match,obj,This boy visited,him,4.7107367515563965
simple,visited,1,1_M_his,m,Match,poss,This boy visited,his,5.090050220489502
simple,visited,1,1_F_him,f,Mismatch,obj,Judy visited,him,4.016371726989746
simple,visited,1,1_F_his,f,Mismatch,poss,Judy visited,his,6.229307174682617
simple,can't astound,2,2_M_him,m,Match,obj,Vincent can't astound,him,5.6809210777282715
simple,can't astound,2,2_M_his,m,Match,poss,Vincent can't astound,his,5.087716102600098
simple,can't astound,2,2_F_him,f,Mismatch,obj,Sara can't astound,him,4.919972896575928
simple,can't astound,2,2_F_his,f,Mismatch,poss,Sara can't astound,his,7.728768825531006
simple,fired,3,3_M_him,m,Match,obj,Marcus fired,him,4.838657379150391
simple,fired,3,3_M_his,m,Match,poss,Marcus fired,his,3.933248281478882
simple,fired,3,3_F_him,f,Mismatch,obj,Naomi fired,him,6.017685413360596
simple,fired,3,3_F_his,f,Mismatch,poss,Naomi fired,his,6.267826557159424
simple,returns to,4,4_M_him,m,Match,obj,Eric returns to,him,9.109984397888184
simple,returns to,4,4_M_his,m,Match,poss,Eric returns to,his,3.1934571266174316
simple,returns to,4,4_F_him,f,Mismatch,obj,Tracy returns to,him,9.437058448791504
simple,returns to,4,4_F_his,f,Mismatch,poss,Tracy returns to,his,3.559004783630371
simple,wasn't alarming,5,5_M_him,m,Match,obj,Scott wasn't alarming,him,6.174783706665039
simple,wasn't alarming,5,5_M_his,m,Match,poss,Scott wasn't alarming,his,8.376913070678711
simple,wasn't alarming,5,5_F_him,f,Mismatch,obj,Alice wasn't alarming,him,8.132500648498535
simple,wasn't alarming,5,5_F_his,f,Mismatch,poss,Alice wasn't alarming,his,11.30102825164795
simple,was investigating,6,6_M_him,m,Match,obj,Adam was investigating,him,6.218508243560791
simple,was investigating,6,6_M_his,m,Match,poss,Adam was investigating,his,5.676652431488037
simple,was investigating,6,6_F_him,f,Mismatch,obj,Victoria was investigating,him,5.842905521392822
simple,was investigating,6,6_F_his,f,Mismatch,poss,Victoria was investigating,his,6.47468376159668
simple,can reference,7,7_M_him,m,Match,obj,This husband can reference,him,8.349971771240234
simple,can reference,7,7_M_his,m,Match,poss,This husband can reference,his,4.850418567657471
simple,can reference,7,7_F_him,f,Mismatch,obj,Jodi can reference,him,9.926297187805176
simple,can reference,7,7_F_his,f,Mismatch,poss,Jodi can reference,his,8.243733406066895
simple,didn't reference,8,8_M_him,m,Match,obj,Guy didn't reference,him,6.519654273986816
simple,didn't reference,8,8_M_his,m,Match,poss,Guy didn't reference,his,4.974365234375
simple,didn't reference,8,8_F_him,f,Mismatch,obj,Kristen didn't reference,him,6.893276214599609
simple,didn't reference,8,8_F_his,f,Mismatch,poss,Kristen didn't reference,his,5.28480863571167
simple,forgave,9,9_M_him,m,Match,obj,Curtis forgave,him,2.597149133682251
simple,forgave,9,9_M_his,m,Match,poss,Curtis forgave,his,3.3187036514282227
simple,forgave,9,9_F_him,f,Mismatch,obj,Jill forgave,him,2.3434431552886963
simple,forgave,9,9_F_his,f,Mismatch,poss,Jill forgave,his,4.744966983795166
