exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-neo-1.3B_surp
TwoEmbedding,tells,understood,0,0_MMM_him,mmm,MatchMatchMatch,obj,Bill tells Stephen that Gerald understood,him,5.241540908813477
TwoEmbedding,tells,understood,0,0_MMF_him,mmf,MatchMatchMismatch,obj,Bill tells Stephen that Ann understood,him,4.381937026977539
TwoEmbedding,tells,understood,0,0_MFM_him,mfm,MatchMismatchMatch,obj,Bill tells Stacy that Gerald understood,him,6.256953716278076
TwoEmbedding,tells,understood,0,0_MFF_him,mff,MatchMismatchMismatch,obj,Bill tells Stacy that Ann understood,him,5.341082572937012
TwoEmbedding,tells,understood,0,0_FMM_him,fmm,MismatchMatchMatch,obj,Lori tells Stephen that Gerald understood,him,5.327071189880371
TwoEmbedding,tells,understood,0,0_FMF_him,fmf,MismatchMatchMismatch,obj,Lori tells Stephen that Ann understood,him,4.622341156005859
TwoEmbedding,tells,understood,0,0_FFM_him,ffm,MismatchMismatchMatch,obj,Lori tells Stacy that Gerald understood,him,6.044240951538086
TwoEmbedding,tells,understood,0,0_FFF_him,fff,MismatchMismatchMismatch,obj,Lori tells Stacy that Ann understood,him,5.5288405418396
TwoEmbedding,tells,understood,0,0_MMM_his,mmm,MatchMatchMatch,poss,Bill tells Stephen that Gerald understood,his,4.040631294250488
TwoEmbedding,tells,understood,0,0_MMF_his,mmf,MatchMatchMismatch,poss,Bill tells Stephen that Ann understood,his,4.307791233062744
TwoEmbedding,tells,understood,0,0_MFM_his,mfm,MatchMismatchMatch,poss,Bill tells Stacy that Gerald understood,his,4.292132377624512
TwoEmbedding,tells,understood,0,0_MFF_his,mff,MatchMismatchMismatch,poss,Bill tells Stacy that Ann understood,his,5.103522300720215
TwoEmbedding,tells,understood,0,0_FMM_his,fmm,MismatchMatchMatch,poss,Lori tells Stephen that Gerald understood,his,4.067739009857178
TwoEmbedding,tells,understood,0,0_FMF_his,fmf,MismatchMatchMismatch,poss,Lori tells Stephen that Ann understood,his,4.33367919921875
TwoEmbedding,tells,understood,0,0_FFM_his,ffm,MismatchMismatchMatch,poss,Lori tells Stacy that Gerald understood,his,4.270896911621094
TwoEmbedding,tells,understood,0,0_FFF_his,fff,MismatchMismatchMismatch,poss,Lori tells Stacy that Ann understood,his,5.196638584136963
TwoEmbedding,shows,visited,1,1_MMM_him,mmm,MatchMatchMatch,obj,Jason shows Russell that this boy visited,him,2.627448558807373
TwoEmbedding,shows,visited,1,1_MMF_him,mmf,MatchMatchMismatch,obj,Jason shows Russell that Judy visited,him,2.268819808959961
TwoEmbedding,shows,visited,1,1_MFM_him,mfm,MatchMismatchMatch,obj,Jason shows Ruth that this boy visited,him,3.330615282058716
TwoEmbedding,shows,visited,1,1_MFF_him,mff,MatchMismatchMismatch,obj,Jason shows Ruth that Judy visited,him,2.656818151473999
TwoEmbedding,shows,visited,1,1_FMM_him,fmm,MismatchMatchMatch,obj,Carolyn shows Russell that this boy visited,him,3.731992483139038
TwoEmbedding,shows,visited,1,1_FMF_him,fmf,MismatchMatchMismatch,obj,Carolyn shows Russell that Judy visited,him,3.0670082569122314
TwoEmbedding,shows,visited,1,1_FFM_him,ffm,MismatchMismatchMatch,obj,Carolyn shows Ruth that this boy visited,him,5.11271858215332
TwoEmbedding,shows,visited,1,1_FFF_him,fff,MismatchMismatchMismatch,obj,Carolyn shows Ruth that Judy visited,him,4.5602312088012695
TwoEmbedding,shows,visited,1,1_MMM_his,mmm,MatchMatchMatch,poss,Jason shows Russell that this boy visited,his,2.435307502746582
TwoEmbedding,shows,visited,1,1_MMF_his,mmf,MatchMatchMismatch,poss,Jason shows Russell that Judy visited,his,3.998248815536499
TwoEmbedding,shows,visited,1,1_MFM_his,mfm,MatchMismatchMatch,poss,Jason shows Ruth that this boy visited,his,2.8557546138763428
TwoEmbedding,shows,visited,1,1_MFF_his,mff,MatchMismatchMismatch,poss,Jason shows Ruth that Judy visited,his,4.387210845947266
TwoEmbedding,shows,visited,1,1_FMM_his,fmm,MismatchMatchMatch,poss,Carolyn shows Russell that this boy visited,his,3.2990784645080566
TwoEmbedding,shows,visited,1,1_FMF_his,fmf,MismatchMatchMismatch,poss,Carolyn shows Russell that Judy visited,his,4.799012660980225
TwoEmbedding,shows,visited,1,1_FFM_his,ffm,MismatchMismatchMatch,poss,Carolyn shows Ruth that this boy visited,his,3.8830995559692383
TwoEmbedding,shows,visited,1,1_FFF_his,fff,MismatchMismatchMismatch,poss,Carolyn shows Ruth that Judy visited,his,6.357151508331299
TwoEmbedding,warns,can't astound,2,2_MMM_him,mmm,MatchMatchMatch,obj,Adam warns the guy that Vincent can't astound,him,0.8539314866065979
TwoEmbedding,warns,can't astound,2,2_MMF_him,mmf,MatchMatchMismatch,obj,Adam warns the guy that Sara can't astound,him,0.43820640444755554
TwoEmbedding,warns,can't astound,2,2_MFM_him,mfm,MatchMismatchMatch,obj,Adam warns Christina that Vincent can't astound,him,4.361032009124756
TwoEmbedding,warns,can't astound,2,2_MFF_him,mff,MatchMismatchMismatch,obj,Adam warns Christina that Sara can't astound,him,1.4143153429031372
TwoEmbedding,warns,can't astound,2,2_FMM_him,fmm,MismatchMatchMatch,obj,Amanda warns the guy that Vincent can't astound,him,1.1170742511749268
TwoEmbedding,warns,can't astound,2,2_FMF_him,fmf,MismatchMatchMismatch,obj,Amanda warns the guy that Sara can't astound,him,0.5398602485656738
TwoEmbedding,warns,can't astound,2,2_FFM_him,ffm,MismatchMismatchMatch,obj,Amanda warns Christina that Vincent can't astound,him,5.233951568603516
TwoEmbedding,warns,can't astound,2,2_FFF_him,fff,MismatchMismatchMismatch,obj,Amanda warns Christina that Sara can't astound,him,2.5189425945281982
TwoEmbedding,warns,can't astound,2,2_MMM_his,mmm,MatchMatchMatch,poss,Adam warns the guy that Vincent can't astound,his,6.4661431312561035
TwoEmbedding,warns,can't astound,2,2_MMF_his,mmf,MatchMatchMismatch,poss,Adam warns the guy that Sara can't astound,his,8.239322662353516
TwoEmbedding,warns,can't astound,2,2_MFM_his,mfm,MatchMismatchMatch,poss,Adam warns Christina that Vincent can't astound,his,7.418497562408447
TwoEmbedding,warns,can't astound,2,2_MFF_his,mff,MatchMismatchMismatch,poss,Adam warns Christina that Sara can't astound,his,9.189642906188965
TwoEmbedding,warns,can't astound,2,2_FMM_his,fmm,MismatchMatchMatch,poss,Amanda warns the guy that Vincent can't astound,his,6.2884416580200195
TwoEmbedding,warns,can't astound,2,2_FMF_his,fmf,MismatchMatchMismatch,poss,Amanda warns the guy that Sara can't astound,his,7.820409297943115
TwoEmbedding,warns,can't astound,2,2_FFM_his,ffm,MismatchMismatchMatch,poss,Amanda warns Christina that Vincent can't astound,his,7.390520095825195
TwoEmbedding,warns,can't astound,2,2_FFF_his,fff,MismatchMismatchMismatch,poss,Amanda warns Christina that Sara can't astound,his,9.611015319824219
TwoEmbedding,shows,fired,3,3_MMM_him,mmm,MatchMatchMatch,obj,Stephen shows Rodney that Marcus fired,him,3.4145402908325195
TwoEmbedding,shows,fired,3,3_MMF_him,mmf,MatchMatchMismatch,obj,Stephen shows Rodney that Naomi fired,him,2.7599825859069824
TwoEmbedding,shows,fired,3,3_MFM_him,mfm,MatchMismatchMatch,obj,Stephen shows Margaret that Marcus fired,him,3.0167996883392334
TwoEmbedding,shows,fired,3,3_MFF_him,mff,MatchMismatchMismatch,obj,Stephen shows Margaret that Naomi fired,him,3.946930170059204
TwoEmbedding,shows,fired,3,3_FMM_him,fmm,MismatchMatchMatch,obj,Cynthia shows Rodney that Marcus fired,him,2.4791641235351562
TwoEmbedding,shows,fired,3,3_FMF_him,fmf,MismatchMatchMismatch,obj,Cynthia shows Rodney that Naomi fired,him,2.467820882797241
TwoEmbedding,shows,fired,3,3_FFM_him,ffm,MismatchMismatchMatch,obj,Cynthia shows Margaret that Marcus fired,him,3.7714786529541016
TwoEmbedding,shows,fired,3,3_FFF_him,fff,MismatchMismatchMismatch,obj,Cynthia shows Margaret that Naomi fired,him,5.0242204666137695
TwoEmbedding,shows,fired,3,3_MMM_his,mmm,MatchMatchMatch,poss,Stephen shows Rodney that Marcus fired,his,3.7482688426971436
TwoEmbedding,shows,fired,3,3_MMF_his,mmf,MatchMatchMismatch,poss,Stephen shows Rodney that Naomi fired,his,6.138526439666748
TwoEmbedding,shows,fired,3,3_MFM_his,mfm,MatchMismatchMatch,poss,Stephen shows Margaret that Marcus fired,his,3.398550510406494
TwoEmbedding,shows,fired,3,3_MFF_his,mff,MatchMismatchMismatch,poss,Stephen shows Margaret that Naomi fired,his,6.1857404708862305
TwoEmbedding,shows,fired,3,3_FMM_his,fmm,MismatchMatchMatch,poss,Cynthia shows Rodney that Marcus fired,his,3.595381259918213
TwoEmbedding,shows,fired,3,3_FMF_his,fmf,MismatchMatchMismatch,poss,Cynthia shows Rodney that Naomi fired,his,5.4355878829956055
TwoEmbedding,shows,fired,3,3_FFM_his,ffm,MismatchMismatchMatch,poss,Cynthia shows Margaret that Marcus fired,his,3.7001004219055176
TwoEmbedding,shows,fired,3,3_FFF_his,fff,MismatchMismatchMismatch,poss,Cynthia shows Margaret that Naomi fired,his,7.089837551116943
TwoEmbedding,alerts,returns to,4,4_MMM_him,mmm,MatchMatchMatch,obj,This husband alerts Aaron that Eric returns to,him,6.205704212188721
TwoEmbedding,alerts,returns to,4,4_MMF_him,mmf,MatchMatchMismatch,obj,This husband alerts Aaron that Tracy returns to,him,6.200936794281006
TwoEmbedding,alerts,returns to,4,4_MFM_him,mfm,MatchMismatchMatch,obj,This husband alerts Tamara that Eric returns to,him,7.34330415725708
TwoEmbedding,alerts,returns to,4,4_MFF_him,mff,MatchMismatchMismatch,obj,This husband alerts Tamara that Tracy returns to,him,7.027339458465576
TwoEmbedding,alerts,returns to,4,4_FMM_him,fmm,MismatchMatchMatch,obj,Barbara alerts Aaron that Eric returns to,him,6.839689254760742
TwoEmbedding,alerts,returns to,4,4_FMF_him,fmf,MismatchMatchMismatch,obj,Barbara alerts Aaron that Tracy returns to,him,6.613935470581055
TwoEmbedding,alerts,returns to,4,4_FFM_him,ffm,MismatchMismatchMatch,obj,Barbara alerts Tamara that Eric returns to,him,8.664701461791992
TwoEmbedding,alerts,returns to,4,4_FFF_him,fff,MismatchMismatchMismatch,obj,Barbara alerts Tamara that Tracy returns to,him,8.419557571411133
TwoEmbedding,alerts,returns to,4,4_MMM_his,mmm,MatchMatchMatch,poss,This husband alerts Aaron that Eric returns to,his,3.6458585262298584
TwoEmbedding,alerts,returns to,4,4_MMF_his,mmf,MatchMatchMismatch,poss,This husband alerts Aaron that Tracy returns to,his,4.683465957641602
TwoEmbedding,alerts,returns to,4,4_MFM_his,mfm,MatchMismatchMatch,poss,This husband alerts Tamara that Eric returns to,his,4.080566883087158
TwoEmbedding,alerts,returns to,4,4_MFF_his,mff,MatchMismatchMismatch,poss,This husband alerts Tamara that Tracy returns to,his,5.1446428298950195
TwoEmbedding,alerts,returns to,4,4_FMM_his,fmm,MismatchMatchMatch,poss,Barbara alerts Aaron that Eric returns to,his,3.2748026847839355
TwoEmbedding,alerts,returns to,4,4_FMF_his,fmf,MismatchMatchMismatch,poss,Barbara alerts Aaron that Tracy returns to,his,4.045967102050781
TwoEmbedding,alerts,returns to,4,4_FFM_his,ffm,MismatchMismatchMatch,poss,Barbara alerts Tamara that Eric returns to,his,3.9062254428863525
TwoEmbedding,alerts,returns to,4,4_FFF_his,fff,MismatchMismatchMismatch,poss,Barbara alerts Tamara that Tracy returns to,his,5.48990535736084
TwoEmbedding,alerted,wasn't alarming,5,5_MMM_him,mmm,MatchMatchMatch,obj,Ronald alerted Donald that Scott wasn't alarming,him,2.5126147270202637
TwoEmbedding,alerted,wasn't alarming,5,5_MMF_him,mmf,MatchMatchMismatch,obj,Ronald alerted Donald that Alice wasn't alarming,him,1.8028008937835693
