exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-neo-1.3B_surp
simple,understood,0,0_M_him,m,Match,obj,Gerald understood,him,6.751596927642822
simple,understood,0,0_M_his,m,Match,poss,Gerald understood,his,5.100174903869629
simple,understood,0,0_F_him,f,Mismatch,obj,Ann understood,him,6.564956188201904
simple,understood,0,0_F_his,f,Mismatch,poss,Ann understood,his,5.577127456665039
simple,visited,1,1_M_him,m,Match,obj,This boy visited,him,4.973601818084717
simple,visited,1,1_M_his,m,Match,poss,This boy visited,his,4.915108680725098
simple,visited,1,1_F_him,f,Mismatch,obj,Judy visited,him,4.116521835327148
simple,visited,1,1_F_his,f,Mismatch,poss,Judy visited,his,5.3631439208984375
simple,can't astound,2,2_M_him,m,Match,obj,Vincent can't astound,him,5.49978494644165
simple,can't astound,2,2_M_his,m,Match,poss,Vincent can't astound,his,5.850022792816162
simple,can't astound,2,2_F_him,f,Mismatch,obj,Sara can't astound,him,3.933258056640625
simple,can't astound,2,2_F_his,f,Mismatch,poss,Sara can't astound,his,7.763928413391113
simple,fired,3,3_M_him,m,Match,obj,Marcus fired,him,6.073154449462891
simple,fired,3,3_M_his,m,Match,poss,Marcus fired,his,3.6553263664245605
simple,fired,3,3_F_him,f,Mismatch,obj,Naomi fired,him,6.211923599243164
simple,fired,3,3_F_his,f,Mismatch,poss,Naomi fired,his,5.236853122711182
simple,returns to,4,4_M_him,m,Match,obj,Eric returns to,him,9.924935340881348
simple,returns to,4,4_M_his,m,Match,poss,Eric returns to,his,4.758403301239014
simple,returns to,4,4_F_him,f,Mismatch,obj,Tracy returns to,him,9.071880340576172
simple,returns to,4,4_F_his,f,Mismatch,poss,Tracy returns to,his,5.205296516418457
simple,wasn't alarming,5,5_M_him,m,Match,obj,Scott wasn't alarming,him,6.106174945831299
simple,wasn't alarming,5,5_M_his,m,Match,poss,Scott wasn't alarming,his,6.985629081726074
simple,wasn't alarming,5,5_F_him,f,Mismatch,obj,Alice wasn't alarming,him,6.432887077331543
simple,wasn't alarming,5,5_F_his,f,Mismatch,poss,Alice wasn't alarming,his,9.577073097229004
simple,was investigating,6,6_M_him,m,Match,obj,Adam was investigating,him,6.796525955200195
simple,was investigating,6,6_M_his,m,Match,poss,Adam was investigating,his,6.323321342468262
simple,was investigating,6,6_F_him,f,Mismatch,obj,Victoria was investigating,him,6.1695075035095215
simple,was investigating,6,6_F_his,f,Mismatch,poss,Victoria was investigating,his,6.703089714050293
simple,can reference,7,7_M_him,m,Match,obj,This husband can reference,him,7.900183200836182
simple,can reference,7,7_M_his,m,Match,poss,This husband can reference,his,4.52346134185791
simple,can reference,7,7_F_him,f,Mismatch,obj,Jodi can reference,him,8.911227226257324
simple,can reference,7,7_F_his,f,Mismatch,poss,Jodi can reference,his,6.727841377258301
simple,didn't reference,8,8_M_him,m,Match,obj,Guy didn't reference,him,6.364014148712158
simple,didn't reference,8,8_M_his,m,Match,poss,Guy didn't reference,his,4.973560333251953
simple,didn't reference,8,8_F_him,f,Mismatch,obj,Kristen didn't reference,him,6.235980033874512
simple,didn't reference,8,8_F_his,f,Mismatch,poss,Kristen didn't reference,his,5.065174579620361
simple,forgave,9,9_M_him,m,Match,obj,Curtis forgave,him,3.488914728164673
simple,forgave,9,9_M_his,m,Match,poss,Curtis forgave,his,3.714228391647339
simple,forgave,9,9_F_him,f,Mismatch,obj,Jill forgave,him,2.5933263301849365
simple,forgave,9,9_F_his,f,Mismatch,poss,Jill forgave,his,5.3371758460998535
simple,astounds,10,10_M_him,m,Match,obj,Mark astounds,him,3.9423885345458984
simple,astounds,10,10_M_his,m,Match,poss,Mark astounds,his,6.6752471923828125
simple,astounds,10,10_F_him,f,Mismatch,obj,Tracy astounds,him,4.6959662437438965
simple,astounds,10,10_F_his,f,Mismatch,poss,Tracy astounds,his,8.073253631591797
simple,isn't shocking,11,11_M_him,m,Match,obj,Aaron isn't shocking,him,10.895957946777344
simple,isn't shocking,11,11_M_his,m,Match,poss,Aaron isn't shocking,his,11.093994140625
simple,isn't shocking,11,11_F_him,f,Mismatch,obj,The woman isn't shocking,him,11.024998664855957
simple,isn't shocking,11,11_F_his,f,Mismatch,poss,The woman isn't shocking,his,13.087736129760742
simple,has boasted about,12,12_M_him,m,Match,obj,Larry has boasted about,him,9.219717025756836
simple,has boasted about,12,12_M_his,m,Match,poss,Larry has boasted about,his,1.9322185516357422
simple,has boasted about,12,12_F_him,f,Mismatch,obj,Helen has boasted about,him,8.873235702514648
simple,has boasted about,12,12_F_his,f,Mismatch,poss,Helen has boasted about,his,3.718944549560547
simple,leads,13,13_M_him,m,Match,obj,Brett leads,him,7.23258638381958
simple,leads,13,13_M_his,m,Match,poss,Brett leads,his,6.124180316925049
simple,leads,13,13_F_him,f,Mismatch,obj,That lady leads,him,4.660829544067383
simple,leads,13,13_F_his,f,Mismatch,poss,That lady leads,his,8.327690124511719
simple,didn't shake,14,14_M_him,m,Match,obj,Robert didn't shake,him,6.496723651885986
simple,didn't shake,14,14_M_his,m,Match,poss,Robert didn't shake,his,1.9615212678909302
simple,didn't shake,14,14_F_him,f,Mismatch,obj,Carmen didn't shake,him,5.062516212463379
simple,didn't shake,14,14_F_his,f,Mismatch,poss,Carmen didn't shake,his,3.0518505573272705
simple,doesn't observe,15,15_M_him,m,Match,obj,Bill doesn't observe,him,8.204360008239746
simple,doesn't observe,15,15_M_his,m,Match,poss,Bill doesn't observe,his,6.5913848876953125
simple,doesn't observe,15,15_F_him,f,Mismatch,obj,Heather doesn't observe,him,6.4369611740112305
simple,doesn't observe,15,15_F_his,f,Mismatch,poss,Heather doesn't observe,his,6.3772292137146
simple,can't find,16,16_M_him,m,Match,obj,Peter can't find,him,8.35212230682373
simple,can't find,16,16_M_his,m,Match,poss,Peter can't find,his,4.376145362854004
simple,can't find,16,16_F_him,f,Mismatch,obj,Holly can't find,him,6.432189464569092
simple,can't find,16,16_F_his,f,Mismatch,poss,Holly can't find,his,7.159286975860596
simple,should hide,17,17_M_him,m,Match,obj,Joel should hide,him,6.863908767700195
simple,should hide,17,17_M_his,m,Match,poss,Joel should hide,his,2.7585866451263428
simple,should hide,17,17_F_him,f,Mismatch,obj,Kirsten should hide,him,7.034043312072754
simple,should hide,17,17_F_his,f,Mismatch,poss,Kirsten should hide,his,4.340260982513428
simple,had praised,18,18_M_him,m,Match,obj,Carl had praised,him,3.0009238719940186
simple,had praised,18,18_M_his,m,Match,poss,Carl had praised,his,4.2243218421936035
simple,had praised,18,18_F_him,f,Mismatch,obj,Teresa had praised,him,3.1274397373199463
simple,had praised,18,18_F_his,f,Mismatch,poss,Teresa had praised,his,3.8051321506500244
simple,argued about,19,19_M_him,m,Match,obj,Benjamin argued about,him,9.358416557312012
simple,argued about,19,19_M_his,m,Match,poss,Benjamin argued about,his,4.66536808013916
simple,argued about,19,19_F_him,f,Mismatch,obj,Jodi argued about,him,8.579231262207031
simple,argued about,19,19_F_his,f,Mismatch,poss,Jodi argued about,his,4.4374542236328125
simple,isn't harming,20,20_M_him,m,Match,obj,Aaron isn't harming,him,4.925238609313965
simple,isn't harming,20,20_M_his,m,Match,poss,Aaron isn't harming,his,6.324650764465332
simple,isn't harming,20,20_F_him,f,Mismatch,obj,Nina isn't harming,him,4.9883856773376465
simple,isn't harming,20,20_F_his,f,Mismatch,poss,Nina isn't harming,his,7.270977020263672
simple,would hurt,21,21_M_him,m,Match,obj,William would hurt,him,4.209376335144043
simple,would hurt,21,21_M_his,m,Match,poss,William would hurt,his,3.7395262718200684
simple,would hurt,21,21_F_him,f,Mismatch,obj,Christine would hurt,him,4.0921454429626465
simple,would hurt,21,21_F_his,f,Mismatch,poss,Christine would hurt,his,4.716489791870117
simple,leaves,22,22_M_him,m,Match,obj,William leaves,him,7.289875507354736
simple,leaves,22,22_M_his,m,Match,poss,William leaves,his,5.062507152557373
simple,leaves,22,22_F_him,f,Mismatch,obj,Lori leaves,him,13.389725685119629
simple,leaves,22,22_F_his,f,Mismatch,poss,Lori leaves,his,13.850959777832031
simple,watches,23,23_M_him,m,Match,obj,Theodore watches,him,5.796724796295166
simple,watches,23,23_M_his,m,Match,poss,Theodore watches,his,4.1664886474609375
simple,watches,23,23_F_him,f,Mismatch,obj,Sonia watches,him,6.698063850402832
simple,watches,23,23_F_his,f,Mismatch,poss,Sonia watches,his,5.4874043464660645
simple,can shoot,24,24_M_him,m,Match,obj,Samuel can shoot,him,10.411691665649414
simple,can shoot,24,24_M_his,m,Match,poss,Samuel can shoot,his,6.462253570556641
simple,can shoot,24,24_F_him,f,Mismatch,obj,Kristen can shoot,him,8.252522468566895
simple,can shoot,24,24_F_his,f,Mismatch,poss,Kristen can shoot,his,6.589291095733643
simple,bit,25,25_M_him,m,Match,obj,Roger bit,him,7.7400803565979
simple,bit,25,25_M_his,m,Match,poss,Roger bit,his,3.8110320568084717
simple,bit,25,25_F_him,f,Mismatch,obj,Alice bit,him,7.242581367492676
simple,bit,25,25_F_his,f,Mismatch,poss,Alice bit,his,6.14890718460083
simple,observed,26,26_M_him,m,Match,obj,Walter observed,him,7.621926784515381
simple,observed,26,26_M_his,m,Match,poss,Walter observed,his,7.48496675491333
simple,observed,26,26_F_him,f,Mismatch,obj,Bethany observed,him,6.127596378326416
simple,observed,26,26_F_his,f,Mismatch,poss,Bethany observed,his,7.410590648651123
simple,can't hire,27,27_M_him,m,Match,obj,Peter can't hire,him,5.398048400878906
simple,can't hire,27,27_M_his,m,Match,poss,Peter can't hire,his,6.217291831970215
simple,can't hire,27,27_F_him,f,Mismatch,obj,Cheryl can't hire,him,5.428385257720947
simple,can't hire,27,27_F_his,f,Mismatch,poss,Cheryl can't hire,his,8.817780494689941
simple,hadn't shot,28,28_M_him,m,Match,obj,Lawrence hadn't shot,him,3.070552110671997
simple,hadn't shot,28,28_M_his,m,Match,poss,Lawrence hadn't shot,his,4.85315465927124
simple,hadn't shot,28,28_F_him,f,Mismatch,obj,Andrea hadn't shot,him,3.460017681121826
simple,hadn't shot,28,28_F_his,f,Mismatch,poss,Andrea hadn't shot,his,5.649134159088135
simple,wasn't curing,29,29_M_him,m,Match,obj,Steven wasn't curing,him,4.256195545196533
simple,wasn't curing,29,29_M_his,m,Match,poss,Steven wasn't curing,his,3.6849875450134277
simple,wasn't curing,29,29_F_him,f,Mismatch,obj,Nina wasn't curing,him,3.7630670070648193
simple,wasn't curing,29,29_F_his,f,Mismatch,poss,Nina wasn't curing,his,5.253920555114746
simple,finds,30,30_M_him,m,Match,obj,Timothy finds,him,6.693114757537842
simple,finds,30,30_M_his,m,Match,poss,Timothy finds,his,4.625472545623779
simple,finds,30,30_F_him,f,Mismatch,obj,Gina finds,him,6.057594299316406
simple,finds,30,30_F_his,f,Mismatch,poss,Gina finds,his,6.430105209350586
simple,wasn't distracting,31,31_M_him,m,Match,obj,Kevin wasn't distracting,him,3.35980486869812
simple,wasn't distracting,31,31_M_his,m,Match,poss,Kevin wasn't distracting,his,6.884119987487793
simple,wasn't distracting,31,31_F_him,f,Mismatch,obj,Bethany wasn't distracting,him,3.2470555305480957
simple,wasn't distracting,31,31_F_his,f,Mismatch,poss,Bethany wasn't distracting,his,7.842629432678223
simple,hears,32,32_M_him,m,Match,obj,Aaron hears,him,9.11023998260498
simple,hears,32,32_M_his,m,Match,poss,Aaron hears,his,7.812259674072266
simple,hears,32,32_F_him,f,Mismatch,obj,Barbara hears,him,9.604153633117676
simple,hears,32,32_F_his,f,Mismatch,poss,Barbara hears,his,6.903666973114014
simple,does astound,33,33_M_him,m,Match,obj,Carlos does astound,him,7.5210185050964355
simple,does astound,33,33_M_his,m,Match,poss,Carlos does astound,his,8.059722900390625
simple,does astound,33,33_F_him,f,Mismatch,obj,Linda does astound,him,7.479701042175293
simple,does astound,33,33_F_his,f,Mismatch,poss,Linda does astound,his,11.44490909576416
simple,hasn't fled from,34,34_M_him,m,Match,obj,Kevin hasn't fled from,him,7.095983505249023
