exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-xl_surp
simple,understood,0,0_M_him,m,Match,obj,Gerald understood,him,9.88048267364502
simple,understood,0,0_M_his,m,Match,poss,Gerald understood,his,5.357768535614014
simple,understood,0,0_F_him,f,Mismatch,obj,Ann understood,him,7.7487077713012695
simple,understood,0,0_F_his,f,Mismatch,poss,Ann understood,his,5.695476531982422
simple,visited,1,1_M_him,m,Match,obj,This boy visited,him,5.68641996383667
simple,visited,1,1_M_his,m,Match,poss,This boy visited,his,4.29966926574707
simple,visited,1,1_F_him,f,Mismatch,obj,Judy visited,him,4.689875602722168
simple,visited,1,1_F_his,f,Mismatch,poss,Judy visited,his,6.395974159240723
simple,can't astound,2,2_M_him,m,Match,obj,Vincent can't astound,him,7.136921405792236
simple,can't astound,2,2_M_his,m,Match,poss,Vincent can't astound,his,7.358720779418945
simple,can't astound,2,2_F_him,f,Mismatch,obj,Sara can't astound,him,4.9310622215271
simple,can't astound,2,2_F_his,f,Mismatch,poss,Sara can't astound,his,8.157880783081055
simple,fired,3,3_M_him,m,Match,obj,Marcus fired,him,7.086252689361572
simple,fired,3,3_M_his,m,Match,poss,Marcus fired,his,3.1583802700042725
simple,fired,3,3_F_him,f,Mismatch,obj,Naomi fired,him,5.556984901428223
simple,fired,3,3_F_his,f,Mismatch,poss,Naomi fired,his,4.7089715003967285
simple,returns to,4,4_M_him,m,Match,obj,Eric returns to,him,11.05153751373291
simple,returns to,4,4_M_his,m,Match,poss,Eric returns to,his,3.6711883544921875
simple,returns to,4,4_F_him,f,Mismatch,obj,Tracy returns to,him,10.523571014404297
simple,returns to,4,4_F_his,f,Mismatch,poss,Tracy returns to,his,5.176290512084961
simple,wasn't alarming,5,5_M_him,m,Match,obj,Scott wasn't alarming,him,5.81337308883667
simple,wasn't alarming,5,5_M_his,m,Match,poss,Scott wasn't alarming,his,6.569645881652832
simple,wasn't alarming,5,5_F_him,f,Mismatch,obj,Alice wasn't alarming,him,6.70307731628418
simple,wasn't alarming,5,5_F_his,f,Mismatch,poss,Alice wasn't alarming,his,9.956393241882324
simple,was investigating,6,6_M_him,m,Match,obj,Adam was investigating,him,8.461050033569336
simple,was investigating,6,6_M_his,m,Match,poss,Adam was investigating,his,6.382364749908447
simple,was investigating,6,6_F_him,f,Mismatch,obj,Victoria was investigating,him,7.951720714569092
simple,was investigating,6,6_F_his,f,Mismatch,poss,Victoria was investigating,his,7.482262134552002
simple,can reference,7,7_M_him,m,Match,obj,This husband can reference,him,7.421721935272217
simple,can reference,7,7_M_his,m,Match,poss,This husband can reference,his,3.503852128982544
simple,can reference,7,7_F_him,f,Mismatch,obj,Jodi can reference,him,9.250554084777832
simple,can reference,7,7_F_his,f,Mismatch,poss,Jodi can reference,his,7.082526683807373
simple,didn't reference,8,8_M_him,m,Match,obj,Guy didn't reference,him,6.367277145385742
simple,didn't reference,8,8_M_his,m,Match,poss,Guy didn't reference,his,5.106536865234375
simple,didn't reference,8,8_F_him,f,Mismatch,obj,Kristen didn't reference,him,6.402977466583252
simple,didn't reference,8,8_F_his,f,Mismatch,poss,Kristen didn't reference,his,6.1498613357543945
simple,forgave,9,9_M_him,m,Match,obj,Curtis forgave,him,2.2582662105560303
simple,forgave,9,9_M_his,m,Match,poss,Curtis forgave,his,4.434538841247559
simple,forgave,9,9_F_him,f,Mismatch,obj,Jill forgave,him,1.6517131328582764
simple,forgave,9,9_F_his,f,Mismatch,poss,Jill forgave,his,6.619091510772705
simple,astounds,10,10_M_him,m,Match,obj,Mark astounds,him,6.997180938720703
simple,astounds,10,10_M_his,m,Match,poss,Mark astounds,his,7.796806335449219
simple,astounds,10,10_F_him,f,Mismatch,obj,Tracy astounds,him,7.156072616577148
simple,astounds,10,10_F_his,f,Mismatch,poss,Tracy astounds,his,7.44516658782959
simple,isn't shocking,11,11_M_him,m,Match,obj,Aaron isn't shocking,him,9.99246883392334
simple,isn't shocking,11,11_M_his,m,Match,poss,Aaron isn't shocking,his,9.076654434204102
simple,isn't shocking,11,11_F_him,f,Mismatch,obj,The woman isn't shocking,him,8.660348892211914
simple,isn't shocking,11,11_F_his,f,Mismatch,poss,The woman isn't shocking,his,11.43949031829834
simple,has boasted about,12,12_M_him,m,Match,obj,Larry has boasted about,him,9.640189170837402
simple,has boasted about,12,12_M_his,m,Match,poss,Larry has boasted about,his,1.886275291442871
simple,has boasted about,12,12_F_him,f,Mismatch,obj,Helen has boasted about,him,9.086729049682617
simple,has boasted about,12,12_F_his,f,Mismatch,poss,Helen has boasted about,his,4.8269267082214355
simple,leads,13,13_M_him,m,Match,obj,Brett leads,him,8.513450622558594
simple,leads,13,13_M_his,m,Match,poss,Brett leads,his,5.472271919250488
simple,leads,13,13_F_him,f,Mismatch,obj,That lady leads,him,4.9549689292907715
simple,leads,13,13_F_his,f,Mismatch,poss,That lady leads,his,9.18817138671875
simple,didn't shake,14,14_M_him,m,Match,obj,Robert didn't shake,him,6.644811153411865
simple,didn't shake,14,14_M_his,m,Match,poss,Robert didn't shake,his,3.0359363555908203
simple,didn't shake,14,14_F_him,f,Mismatch,obj,Carmen didn't shake,him,5.303328037261963
simple,didn't shake,14,14_F_his,f,Mismatch,poss,Carmen didn't shake,his,3.2339396476745605
simple,doesn't observe,15,15_M_him,m,Match,obj,Bill doesn't observe,him,8.161665916442871
