exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-j-6B_surp
About,shouldn't confuse,0,0_M_him,m,Match,obj,The book about Peter shouldn't confuse,him,4.838580131530762
About,shouldn't confuse,0,0_F_him,f,Mismatch,obj,The book about Michelle shouldn't confuse,him,6.257425785064697
About,shouldn't confuse,0,0_M_his,m,Match,poss,The book about Peter shouldn't confuse,his,6.878641605377197
About,shouldn't confuse,0,0_F_his,f,Mismatch,poss,The book about Michelle shouldn't confuse,his,8.906123161315918
About,confuses,1,1_M_him,m,Match,obj,The pamphlet about Todd confuses,him,4.516623497009277
About,confuses,1,1_F_him,f,Mismatch,obj,The pamphlet about Kimberley confuses,him,6.946228504180908
About,confuses,1,1_M_his,m,Match,poss,The pamphlet about Todd confuses,his,5.395765781402588
About,confuses,1,1_F_his,f,Mismatch,poss,The pamphlet about Kimberley confuses,his,7.329444408416748
About,embarrassed,2,2_M_him,m,Match,obj,The brochure about Bradley embarrassed,him,2.780104398727417
About,embarrassed,2,2_F_him,f,Mismatch,obj,The brochure about Holly embarrassed,him,2.6436927318573
About,embarrassed,2,2_M_his,m,Match,poss,The brochure about Bradley embarrassed,his,7.773181438446045
About,embarrassed,2,2_F_his,f,Mismatch,poss,The brochure about Holly embarrassed,his,8.628623008728027
About,was hindering,3,3_M_him,m,Match,obj,The play about Todd was hindering,him,5.529392719268799
About,was hindering,3,3_F_him,f,Mismatch,obj,The play about that mother was hindering,him,4.8515143394470215
About,was hindering,3,3_M_his,m,Match,poss,The play about Todd was hindering,his,3.151200294494629
About,was hindering,3,3_F_his,f,Mismatch,poss,The play about that mother was hindering,his,3.622969388961792
About,wouldn't hinder,4,4_M_him,m,Match,obj,The movie about Eric wouldn't hinder,him,4.8862223625183105
About,wouldn't hinder,4,4_F_him,f,Mismatch,obj,The movie about Elizabeth wouldn't hinder,him,6.229076862335205
About,wouldn't hinder,4,4_M_his,m,Match,poss,The movie about Eric wouldn't hinder,his,3.026498317718506
About,wouldn't hinder,4,4_F_his,f,Mismatch,poss,The movie about Elizabeth wouldn't hinder,his,4.955447673797607
About,should upset,5,5_M_him,m,Match,obj,The newspaper article about Steven should upset,him,2.9017090797424316
About,should upset,5,5_F_him,f,Mismatch,obj,The newspaper article about Kirsten should upset,him,3.287855863571167
About,should upset,5,5_M_his,m,Match,poss,The newspaper article about Steven should upset,his,5.809641361236572
About,should upset,5,5_F_his,f,Mismatch,poss,The newspaper article about Kirsten should upset,his,6.714256286621094
About,was impressing,6,6_M_him,m,Match,obj,The story about Donald was impressing,him,3.639894485473633
About,was impressing,6,6_F_him,f,Mismatch,obj,The story about Sarah was impressing,him,3.5776875019073486
About,was impressing,6,6_M_his,m,Match,poss,The story about Donald was impressing,his,5.691226482391357
About,was impressing,6,6_F_his,f,Mismatch,poss,The story about Sarah was impressing,his,7.139340877532959
About,did disturb,7,7_M_him,m,Match,obj,The essay about Craig did disturb,him,5.077385425567627
About,did disturb,7,7_F_him,f,Mismatch,obj,The essay about Tara did disturb,him,5.663433074951172
About,did disturb,7,7_M_his,m,Match,poss,The essay about Craig did disturb,his,8.875730514526367
About,did disturb,7,7_F_his,f,Mismatch,poss,The essay about Tara did disturb,his,9.732284545898438
About,alarmed,8,8_M_him,m,Match,obj,The report about Samuel alarmed,him,2.774824380874634
About,alarmed,8,8_F_him,f,Mismatch,obj,The report about Nicole alarmed,him,3.042252779006958
About,alarmed,8,8_M_his,m,Match,poss,The report about Samuel alarmed,his,5.3784379959106445
About,alarmed,8,8_F_his,f,Mismatch,poss,The report about Nicole alarmed,his,7.2350850105285645
About,should shock,9,9_M_him,m,Match,obj,The documentary about Daniel should shock,him,6.282651901245117
About,should shock,9,9_F_him,f,Mismatch,obj,The documentary about the ex-wife should shock,him,6.72750997543335
About,should shock,9,9_M_his,m,Match,poss,The documentary about Daniel should shock,his,6.801120758056641
About,should shock,9,9_F_his,f,Mismatch,poss,The documentary about the ex-wife should shock,his,8.542149543762207
About,disgusts,10,10_M_him,m,Match,obj,The commentary about Mitchell disgusts,him,5.142099380493164
About,disgusts,10,10_F_him,f,Mismatch,obj,The commentary about Sarah disgusts,him,5.7691545486450195
About,disgusts,10,10_M_his,m,Match,poss,The commentary about Mitchell disgusts,his,8.940443992614746
About,disgusts,10,10_F_his,f,Mismatch,poss,The commentary about Sarah disgusts,his,9.916902542114258
About,shouldn't astound,11,11_M_him,m,Match,obj,The show about George shouldn't astound,him,5.178962230682373
About,shouldn't astound,11,11_F_him,f,Mismatch,obj,The show about that actress shouldn't astound,him,6.733562469482422
