exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-medium_surp
OneEmbedding,asserted,understood,0,0_MM_him,mm,MatchMatch,obj,Stephen asserted that Gerald understood,him,5.583666801452637
OneEmbedding,asserted,understood,0,0_MF_him,mf,MatchMismatch,obj,Stephen asserted that Ann understood,him,4.965154647827148
OneEmbedding,asserted,understood,0,0_FM_him,fm,MismatchMatch,obj,Stacy asserted that Gerald understood,him,6.205996513366699
OneEmbedding,asserted,understood,0,0_FF_him,ff,MismatchMismatch,obj,Stacy asserted that Ann understood,him,5.613339900970459
OneEmbedding,asserted,understood,0,0_MM_his,mm,MatchMatch,poss,Stephen asserted that Gerald understood,his,3.984222650527954
OneEmbedding,asserted,understood,0,0_MF_his,mf,MatchMismatch,poss,Stephen asserted that Ann understood,his,5.202143669128418
OneEmbedding,asserted,understood,0,0_FM_his,fm,MismatchMatch,poss,Stacy asserted that Gerald understood,his,4.245647430419922
OneEmbedding,asserted,understood,0,0_FF_his,ff,MismatchMismatch,poss,Stacy asserted that Ann understood,his,6.33975076675415
OneEmbedding,believed,visited,1,1_MM_him,mm,MatchMatch,obj,Russell believed that this boy visited,him,3.5888001918792725
OneEmbedding,believed,visited,1,1_MF_him,mf,MatchMismatch,obj,Russell believed that Judy visited,him,2.0105674266815186
OneEmbedding,believed,visited,1,1_FM_him,fm,MismatchMatch,obj,Ruth believed that this boy visited,him,4.335550308227539
OneEmbedding,believed,visited,1,1_FF_him,ff,MismatchMismatch,obj,Ruth believed that Judy visited,him,2.5643489360809326
OneEmbedding,believed,visited,1,1_MM_his,mm,MatchMatch,poss,Russell believed that this boy visited,his,3.0854110717773438
OneEmbedding,believed,visited,1,1_MF_his,mf,MatchMismatch,poss,Russell believed that Judy visited,his,4.729082107543945
OneEmbedding,believed,visited,1,1_FM_his,fm,MismatchMatch,poss,Ruth believed that this boy visited,his,3.070638418197632
OneEmbedding,believed,visited,1,1_FF_his,ff,MismatchMismatch,poss,Ruth believed that Judy visited,his,5.380340099334717
OneEmbedding,was disliking,can't astound,2,2_MM_him,mm,MatchMatch,obj,The guy was disliking that Vincent can't astound,him,3.627469778060913
OneEmbedding,was disliking,can't astound,2,2_MF_him,mf,MatchMismatch,obj,The guy was disliking that Sara can't astound,him,1.782249093055725
