item,exp,pronoun,cond,contrast,sent,target,/data/EleutherAI/gpt-neo-1.3B_surp
1,1,he,m,Match,"When he was off work,",Richard,11.675163269042969
1,1,she,m,Mismatch,"When she was off work,",Keith,14.908228874206543
1,1,she,f,Match,"When she was off work, the",dancer,15.168923377990723
1,1,he,f,Mismatch,"When he was off work,",Laura,14.12878704071045
2,1,he,m,Match,"When he arrived,",Larry,14.751067161560059
2,1,she,m,Mismatch,"When she arrived,",Wayne,16.064373016357422
2,1,she,f,Match,"When she arrived,",Cheryl,16.629661560058594
2,1,he,f,Mismatch,"When he arrived,",Teresa,16.126018524169922
3,1,he,m,Match,"When he was fed up,",Guy,18.34445571899414
3,1,she,m,Mismatch,"When she was fed up,",Joseph,14.673577308654785
3,1,she,f,Match,"When she was fed up,",Cynthia,17.05514907836914
3,1,he,f,Mismatch,"When he was fed up, the",wife,9.928431510925293
4,1,he,m,Match,"When he was talking,",Joseph,14.219682693481445
4,1,she,m,Mismatch,"When she was talking,",Bradley,18.94610595703125
4,1,she,f,Match,"When she was talking,",Dana,16.336061477661133
4,1,he,f,Mismatch,"When he was talking,",Janet,17.228286743164062
5,1,he,m,Match,"When he was nearby,",Larry,14.565834999084473
5,1,she,m,Mismatch,"When she was nearby,",Joseph,13.379068374633789
5,1,she,f,Match,"When she was nearby, the",girl,6.073307991027832
5,1,he,f,Mismatch,"When he was nearby,",Helen,15.582345962524414
6,1,he,m,Match,"When he was lost,",Donald,15.343025207519531
6,1,she,m,Mismatch,"When she was lost,",Brad,17.969221115112305
6,1,she,f,Match,"When she was lost,",Judy,16.97682762145996
6,1,he,f,Mismatch,"When he was lost, the",dancer,16.139392852783203
7,1,he,m,Match,"When he was bad-tempered,",Guy,19.46393394470215
7,1,she,m,Mismatch,"When she was bad-tempered,",Bruce,19.258045196533203
7,1,she,f,Match,"When she was bad-tempered, the",woman,7.340220928192139
7,1,he,f,Mismatch,"When he was bad-tempered,",Ann,16.349443435668945
8,1,he,m,Match,"When he was jealous, the",father,8.341437339782715
8,1,she,m,Mismatch,"When she was jealous,",Steve,15.35682201385498
8,1,she,f,Match,"When she was jealous,",Catherine,14.253722190856934
8,1,he,f,Mismatch,"When he was jealous, the",dancer,14.83068561553955
9,1,he,m,Match,"When he was in residence,",Dan,14.770098686218262
9,1,she,m,Mismatch,"When she was in residence,",Russell,14.59107494354248
9,1,she,f,Match,"When she was in residence, the",woman,9.077463150024414
9,1,he,f,Mismatch,"When he was in residence, the",wife,7.671180725097656
10,1,he,m,Match,"When he was introduced,",Wayne,15.452179908752441
10,1,she,m,Mismatch,"When she was introduced,",Steve,14.638893127441406
10,1,she,f,Match,"When she was introduced,",Sally,14.772332191467285
10,1,he,f,Mismatch,"When he was introduced,",Teresa,17.069194793701172
11,1,he,m,Match,"When he arrived,",Joseph,12.194602966308594
11,1,she,m,Mismatch,"When she arrived,",Richard,12.456968307495117
11,1,she,f,Match,"When she arrived,",Cheryl,16.62972068786621
11,1,he,f,Mismatch,"When he arrived,",Janet,16.219505310058594
12,1,he,m,Match,"When he felt sad,",Guy,18.919260025024414
12,1,she,m,Mismatch,"When she felt sad,",Rodney,19.832550048828125
12,1,she,f,Match,"When she felt sad,",Amanda,17.019256591796875
12,1,he,f,Mismatch,"When he felt sad,",Sally,17.21063232421875
13,1,he,m,Match,"When he was present,",Wayne,16.112855911254883
13,1,she,m,Mismatch,"When she was present,",Larry,15.362662315368652
13,1,she,f,Match,"When she was present,",Carrie,15.961599349975586
13,1,he,f,Mismatch,"When he was present,",Lori,18.145381927490234
14,1,he,m,Match,"When he was depressed,",Richard,13.864998817443848
14,1,she,m,Mismatch,"When she was depressed,",Steve,15.619073867797852
14,1,she,f,Match,"When she was depressed,",Cynthia,18.779870986938477
14,1,he,f,Mismatch,"When he was depressed,",Amelia,19.612152099609375
15,1,he,m,Match,"When he was around,",Brad,14.8820161819458
15,1,she,m,Mismatch,"When she was around,",Wayne,16.725482940673828
15,1,she,f,Match,"When she was around,",Marie,14.038156509399414
15,1,he,f,Mismatch,"When he was around,",Dana,16.218706130981445
16,1,he,m,Match,"When he was near,",Joseph,13.967473030090332
16,1,she,m,Mismatch,"When she was near,",Richard,14.06289291381836
16,1,she,f,Match,"When she was near,",Dana,17.714576721191406
16,1,he,f,Mismatch,"When he was near,",Janet,19.279891967773438
17,1,he,m,Match,"When he was in court,",Bradley,17.42623519897461
17,1,she,m,Mismatch,"When she was in court,",Steve,15.129485130310059
17,1,she,f,Match,"When she was in court, the",dancer,16.804622650146484
17,1,he,f,Mismatch,"When he was in court,",Helen,16.36187171936035
18,1,he,m,Match,"When he was poorly,",Keith,17.22850227355957
18,1,she,m,Mismatch,"When she was poorly,",Steve,16.218360900878906
18,1,she,f,Match,"When she was poorly,",Dana,18.381898880004883
18,1,he,f,Mismatch,"When he was poorly,",Tracy,18.65684700012207
19,1,he,m,Match,"When he arrived,",Charles,12.26965045928955
19,1,she,m,Mismatch,"When she arrived,",Timothy,16.27300453186035
19,1,she,f,Match,"When she arrived,",Janet,14.705979347229004
19,1,he,f,Mismatch,"When he arrived,",Lori,17.541301727294922
20,1,he,m,Match,"When he was appointed,",Benjamin,14.475024223327637
20,1,she,m,Mismatch,"When she was appointed,",Larry,16.648557662963867
20,1,she,f,Match,"When she was appointed,",Teresa,16.457000732421875
20,1,he,f,Mismatch,"When he was appointed,",Tracy,18.05454444885254
21,1,he,m,Match,"When he was fired,",Timothy,15.223909378051758
21,1,she,m,Mismatch,"When she was fired,",Liam,18.535167694091797
21,1,she,f,Match,"When she was fired,",Teresa,16.11311149597168
21,1,he,f,Mismatch,"When he was fired,",Heidi,17.916505813598633
22,1,he,m,Match,"When he was close, the",father,10.269033432006836
22,1,she,m,Mismatch,"When she was close, the",father,10.814884185791016
22,1,she,f,Match,"When she was close,",Carrie,17.422292709350586
22,1,he,f,Mismatch,"When he was close,",Elizabeth,15.697294235229492
23,1,he,m,Match,"When he was retired,",Steve,14.381494522094727
23,1,she,m,Mismatch,"When she was retired,",Donald,13.39711856842041
23,1,she,f,Match,"When she was retired,",Christina,15.226102828979492
23,1,he,f,Mismatch,"When he was retired, the",dancer,17.16849136352539
24,1,he,m,Match,"When he was abroad, the",guy,14.618464469909668
24,1,she,m,Mismatch,"When she was abroad,",Larry,16.985008239746094
24,1,she,f,Match,"When she was abroad,",Lori,17.899879455566406
24,1,he,f,Mismatch,"When he was abroad,",Catherine,14.511107444763184
25,1,he,m,Match,"When he was discovered,",Thomas,12.382858276367188
25,1,she,m,Mismatch,"When she was discovered,",Donald,15.304251670837402
25,1,she,f,Match,"When she was discovered,",Suzanne,16.828462600708008
25,1,he,f,Mismatch,"When he was discovered,",Dana,18.922855377197266
26,1,he,m,Match,"When he was busy, the",nephew,13.407474517822266
26,1,she,m,Mismatch,"When she was busy,",Bruce,16.938467025756836
26,1,she,f,Match,"When she was busy,",Lori,16.00718116760254
26,1,he,f,Mismatch,"When he was busy,",Christina,17.84022331237793
27,1,he,m,Match,"When he was twenty-one,",Brian,14.265979766845703
27,1,she,m,Mismatch,"When she was twenty-one,",Brad,15.474419593811035
27,1,she,f,Match,"When she was twenty-one,",Naomi,14.023098945617676
27,1,he,f,Mismatch,"When he was twenty-one, the",woman,10.3613862991333
28,1,he,m,Match,"When he was annoyed,",Larry,15.13284683227539
28,1,she,m,Mismatch,"When she was annoyed,",Richard,13.744050979614258
28,1,she,f,Match,"When she was annoyed,",Ann,13.1439790725708
