exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-medium_surp
simple,understood,0,0_M_him,m,Match,obj,Gerald understood,him,7.776483535766602
simple,understood,0,0_M_his,m,Match,poss,Gerald understood,his,5.278139591217041
simple,understood,0,0_F_him,f,Mismatch,obj,Ann understood,him,8.748452186584473
simple,understood,0,0_F_his,f,Mismatch,poss,Ann understood,his,6.467043399810791
simple,visited,1,1_M_him,m,Match,obj,This boy visited,him,7.000856399536133
simple,visited,1,1_M_his,m,Match,poss,This boy visited,his,4.65792989730835
simple,visited,1,1_F_him,f,Mismatch,obj,Judy visited,him,5.362846851348877
simple,visited,1,1_F_his,f,Mismatch,poss,Judy visited,his,5.723080158233643
simple,can't astound,2,2_M_him,m,Match,obj,Vincent can't astound,him,5.794339179992676
simple,can't astound,2,2_M_his,m,Match,poss,Vincent can't astound,his,6.790836811065674
simple,can't astound,2,2_F_him,f,Mismatch,obj,Sara can't astound,him,5.666692733764648
simple,can't astound,2,2_F_his,f,Mismatch,poss,Sara can't astound,his,8.719419479370117
simple,fired,3,3_M_him,m,Match,obj,Marcus fired,him,7.1564555168151855
simple,fired,3,3_M_his,m,Match,poss,Marcus fired,his,3.768303632736206
simple,fired,3,3_F_him,f,Mismatch,obj,Naomi fired,him,6.279495716094971
simple,fired,3,3_F_his,f,Mismatch,poss,Naomi fired,his,4.622287750244141
simple,returns to,4,4_M_him,m,Match,obj,Eric returns to,him,9.60062026977539
simple,returns to,4,4_M_his,m,Match,poss,Eric returns to,his,3.2670140266418457
simple,returns to,4,4_F_him,f,Mismatch,obj,Tracy returns to,him,9.323670387268066
simple,returns to,4,4_F_his,f,Mismatch,poss,Tracy returns to,his,4.2878923416137695
simple,wasn't alarming,5,5_M_him,m,Match,obj,Scott wasn't alarming,him,6.552063465118408
simple,wasn't alarming,5,5_M_his,m,Match,poss,Scott wasn't alarming,his,7.4632248878479
simple,wasn't alarming,5,5_F_him,f,Mismatch,obj,Alice wasn't alarming,him,8.3300199508667
simple,wasn't alarming,5,5_F_his,f,Mismatch,poss,Alice wasn't alarming,his,10.598418235778809
simple,was investigating,6,6_M_him,m,Match,obj,Adam was investigating,him,7.474749565124512
simple,was investigating,6,6_M_his,m,Match,poss,Adam was investigating,his,6.036953449249268
