exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-large_surp
OneEmbedding,asserted,understood,0,0_MM_him,mm,MatchMatch,obj,Stephen asserted that Gerald understood,him,4.100024223327637
OneEmbedding,asserted,understood,0,0_MF_him,mf,MatchMismatch,obj,Stephen asserted that Ann understood,him,3.949448823928833
OneEmbedding,asserted,understood,0,0_FM_him,fm,MismatchMatch,obj,Stacy asserted that Gerald understood,him,4.353994369506836
OneEmbedding,asserted,understood,0,0_FF_him,ff,MismatchMismatch,obj,Stacy asserted that Ann understood,him,4.588980674743652
OneEmbedding,asserted,understood,0,0_MM_his,mm,MatchMatch,poss,Stephen asserted that Gerald understood,his,4.000862121582031
OneEmbedding,asserted,understood,0,0_MF_his,mf,MatchMismatch,poss,Stephen asserted that Ann understood,his,4.550268173217773
OneEmbedding,asserted,understood,0,0_FM_his,fm,MismatchMatch,poss,Stacy asserted that Gerald understood,his,4.133572101593018
OneEmbedding,asserted,understood,0,0_FF_his,ff,MismatchMismatch,poss,Stacy asserted that Ann understood,his,5.652031421661377
OneEmbedding,believed,visited,1,1_MM_him,mm,MatchMatch,obj,Russell believed that this boy visited,him,3.236557960510254
OneEmbedding,believed,visited,1,1_MF_him,mf,MatchMismatch,obj,Russell believed that Judy visited,him,1.9417293071746826
OneEmbedding,believed,visited,1,1_FM_him,fm,MismatchMatch,obj,Ruth believed that this boy visited,him,4.071925163269043
OneEmbedding,believed,visited,1,1_FF_him,ff,MismatchMismatch,obj,Ruth believed that Judy visited,him,2.3803579807281494
OneEmbedding,believed,visited,1,1_MM_his,mm,MatchMatch,poss,Russell believed that this boy visited,his,3.70070743560791
OneEmbedding,believed,visited,1,1_MF_his,mf,MatchMismatch,poss,Russell believed that Judy visited,his,4.780669212341309
OneEmbedding,believed,visited,1,1_FM_his,fm,MismatchMatch,poss,Ruth believed that this boy visited,his,3.803987979888916
OneEmbedding,believed,visited,1,1_FF_his,ff,MismatchMismatch,poss,Ruth believed that Judy visited,his,5.31953763961792
OneEmbedding,was disliking,can't astound,2,2_MM_him,mm,MatchMatch,obj,The guy was disliking that Vincent can't astound,him,4.740896224975586
OneEmbedding,was disliking,can't astound,2,2_MF_him,mf,MatchMismatch,obj,The guy was disliking that Sara can't astound,him,2.4764204025268555
OneEmbedding,was disliking,can't astound,2,2_FM_him,fm,MismatchMatch,obj,Christina was disliking that Vincent can't astound,him,6.438744068145752
OneEmbedding,was disliking,can't astound,2,2_FF_him,ff,MismatchMismatch,obj,Christina was disliking that Sara can't astound,him,4.644357681274414
OneEmbedding,was disliking,can't astound,2,2_MM_his,mm,MatchMatch,poss,The guy was disliking that Vincent can't astound,his,5.621970176696777
OneEmbedding,was disliking,can't astound,2,2_MF_his,mf,MatchMismatch,poss,The guy was disliking that Sara can't astound,his,7.620424747467041
OneEmbedding,was disliking,can't astound,2,2_FM_his,fm,MismatchMatch,poss,Christina was disliking that Vincent can't astound,his,5.783385753631592
OneEmbedding,was disliking,can't astound,2,2_FF_his,ff,MismatchMismatch,poss,Christina was disliking that Sara can't astound,his,9.15579891204834
