exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-neo-1.3B_surp
About,shouldn't confuse,0,0_M_him,m,Match,obj,The book about Peter shouldn't confuse,him,3.8579354286193848
About,shouldn't confuse,0,0_F_him,f,Mismatch,obj,The book about Michelle shouldn't confuse,him,5.120481491088867
About,shouldn't confuse,0,0_M_his,m,Match,poss,The book about Peter shouldn't confuse,his,7.184444427490234
About,shouldn't confuse,0,0_F_his,f,Mismatch,poss,The book about Michelle shouldn't confuse,his,8.57293701171875
About,confuses,1,1_M_him,m,Match,obj,The pamphlet about Todd confuses,him,5.163843154907227
About,confuses,1,1_F_him,f,Mismatch,obj,The pamphlet about Kimberley confuses,him,6.7353434562683105
About,confuses,1,1_M_his,m,Match,poss,The pamphlet about Todd confuses,his,6.761441230773926
About,confuses,1,1_F_his,f,Mismatch,poss,The pamphlet about Kimberley confuses,his,8.42800235748291
About,embarrassed,2,2_M_him,m,Match,obj,The brochure about Bradley embarrassed,him,2.0104808807373047
About,embarrassed,2,2_F_him,f,Mismatch,obj,The brochure about Holly embarrassed,him,3.0044918060302734
About,embarrassed,2,2_M_his,m,Match,poss,The brochure about Bradley embarrassed,his,6.042844295501709
About,embarrassed,2,2_F_his,f,Mismatch,poss,The brochure about Holly embarrassed,his,7.370223522186279
About,was hindering,3,3_M_him,m,Match,obj,The play about Todd was hindering,him,5.155786037445068
About,was hindering,3,3_F_him,f,Mismatch,obj,The play about that mother was hindering,him,3.8962652683258057
About,was hindering,3,3_M_his,m,Match,poss,The play about Todd was hindering,his,3.4476687908172607
About,was hindering,3,3_F_his,f,Mismatch,poss,The play about that mother was hindering,his,3.3849937915802
About,wouldn't hinder,4,4_M_him,m,Match,obj,The movie about Eric wouldn't hinder,him,4.469192981719971
About,wouldn't hinder,4,4_F_him,f,Mismatch,obj,The movie about Elizabeth wouldn't hinder,him,5.388840198516846
About,wouldn't hinder,4,4_M_his,m,Match,poss,The movie about Eric wouldn't hinder,his,3.156461477279663
About,wouldn't hinder,4,4_F_his,f,Mismatch,poss,The movie about Elizabeth wouldn't hinder,his,3.963970899581909
About,should upset,5,5_M_him,m,Match,obj,The newspaper article about Steven should upset,him,2.8796937465667725
About,should upset,5,5_F_him,f,Mismatch,obj,The newspaper article about Kirsten should upset,him,3.3746280670166016
About,should upset,5,5_M_his,m,Match,poss,The newspaper article about Steven should upset,his,5.261178970336914
About,should upset,5,5_F_his,f,Mismatch,poss,The newspaper article about Kirsten should upset,his,6.313009738922119
About,was impressing,6,6_M_him,m,Match,obj,The story about Donald was impressing,him,3.9793975353240967
About,was impressing,6,6_F_him,f,Mismatch,obj,The story about Sarah was impressing,him,3.9952409267425537
About,was impressing,6,6_M_his,m,Match,poss,The story about Donald was impressing,his,5.049707889556885
About,was impressing,6,6_F_his,f,Mismatch,poss,The story about Sarah was impressing,his,6.187254428863525
About,did disturb,7,7_M_him,m,Match,obj,The essay about Craig did disturb,him,3.3781542778015137
About,did disturb,7,7_F_him,f,Mismatch,obj,The essay about Tara did disturb,him,3.227280616760254
About,did disturb,7,7_M_his,m,Match,poss,The essay about Craig did disturb,his,6.197859764099121
About,did disturb,7,7_F_his,f,Mismatch,poss,The essay about Tara did disturb,his,6.2276411056518555
About,alarmed,8,8_M_him,m,Match,obj,The report about Samuel alarmed,him,3.394885778427124
About,alarmed,8,8_F_him,f,Mismatch,obj,The report about Nicole alarmed,him,3.1196448802948
About,alarmed,8,8_M_his,m,Match,poss,The report about Samuel alarmed,his,4.973174095153809
About,alarmed,8,8_F_his,f,Mismatch,poss,The report about Nicole alarmed,his,6.397907257080078
About,should shock,9,9_M_him,m,Match,obj,The documentary about Daniel should shock,him,7.304687023162842
About,should shock,9,9_F_him,f,Mismatch,obj,The documentary about the ex-wife should shock,him,6.460335731506348
About,should shock,9,9_M_his,m,Match,poss,The documentary about Daniel should shock,his,7.649979591369629
About,should shock,9,9_F_his,f,Mismatch,poss,The documentary about the ex-wife should shock,his,8.300643920898438
About,disgusts,10,10_M_him,m,Match,obj,The commentary about Mitchell disgusts,him,4.461540699005127
About,disgusts,10,10_F_him,f,Mismatch,obj,The commentary about Sarah disgusts,him,3.8362388610839844
About,disgusts,10,10_M_his,m,Match,poss,The commentary about Mitchell disgusts,his,8.651097297668457
About,disgusts,10,10_F_his,f,Mismatch,poss,The commentary about Sarah disgusts,his,8.305320739746094
About,shouldn't astound,11,11_M_him,m,Match,obj,The show about George shouldn't astound,him,4.843557357788086
About,shouldn't astound,11,11_F_him,f,Mismatch,obj,The show about that actress shouldn't astound,him,6.024285316467285
About,shouldn't astound,11,11_M_his,m,Match,poss,The show about George shouldn't astound,his,7.25316858291626
