exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2_surp
About,shouldn't confuse,0,0_M_him,m,Match,obj,The book about Peter shouldn't confuse,him,4.191843032836914
About,shouldn't confuse,0,0_F_him,f,Mismatch,obj,The book about Michelle shouldn't confuse,him,6.28428316116333
About,shouldn't confuse,0,0_M_his,m,Match,poss,The book about Peter shouldn't confuse,his,6.283702373504639
About,shouldn't confuse,0,0_F_his,f,Mismatch,poss,The book about Michelle shouldn't confuse,his,8.697092056274414
About,confuses,1,1_M_him,m,Match,obj,The pamphlet about Todd confuses,him,6.015213489532471
About,confuses,1,1_F_him,f,Mismatch,obj,The pamphlet about Kimberley confuses,him,8.505467414855957
About,confuses,1,1_M_his,m,Match,poss,The pamphlet about Todd confuses,his,5.724905967712402
About,confuses,1,1_F_his,f,Mismatch,poss,The pamphlet about Kimberley confuses,his,9.807494163513184
About,embarrassed,2,2_M_him,m,Match,obj,The brochure about Bradley embarrassed,him,3.703223943710327
About,embarrassed,2,2_F_him,f,Mismatch,obj,The brochure about Holly embarrassed,him,3.7764086723327637
About,embarrassed,2,2_M_his,m,Match,poss,The brochure about Bradley embarrassed,his,4.763925075531006
About,embarrassed,2,2_F_his,f,Mismatch,poss,The brochure about Holly embarrassed,his,5.704771041870117
About,was hindering,3,3_M_him,m,Match,obj,The play about Todd was hindering,him,4.584627628326416
About,was hindering,3,3_F_him,f,Mismatch,obj,The play about that mother was hindering,him,3.835705518722534
About,was hindering,3,3_M_his,m,Match,poss,The play about Todd was hindering,his,3.0825612545013428
About,was hindering,3,3_F_his,f,Mismatch,poss,The play about that mother was hindering,his,3.860107898712158
About,wouldn't hinder,4,4_M_him,m,Match,obj,The movie about Eric wouldn't hinder,him,4.253559589385986
About,wouldn't hinder,4,4_F_him,f,Mismatch,obj,The movie about Elizabeth wouldn't hinder,him,5.5065741539001465
About,wouldn't hinder,4,4_M_his,m,Match,poss,The movie about Eric wouldn't hinder,his,3.046170473098755
About,wouldn't hinder,4,4_F_his,f,Mismatch,poss,The movie about Elizabeth wouldn't hinder,his,4.648741245269775
About,should upset,5,5_M_him,m,Match,obj,The newspaper article about Steven should upset,him,3.898259162902832
About,should upset,5,5_F_him,f,Mismatch,obj,The newspaper article about Kirsten should upset,him,5.673974990844727
About,should upset,5,5_M_his,m,Match,poss,The newspaper article about Steven should upset,his,5.4348320960998535
About,should upset,5,5_F_his,f,Mismatch,poss,The newspaper article about Kirsten should upset,his,7.705538749694824
About,was impressing,6,6_M_him,m,Match,obj,The story about Donald was impressing,him,4.823692798614502
About,was impressing,6,6_F_him,f,Mismatch,obj,The story about Sarah was impressing,him,5.67069149017334
About,was impressing,6,6_M_his,m,Match,poss,The story about Donald was impressing,his,6.035716533660889
About,was impressing,6,6_F_his,f,Mismatch,poss,The story about Sarah was impressing,his,7.978055000305176
About,did disturb,7,7_M_him,m,Match,obj,The essay about Craig did disturb,him,5.358529567718506
About,did disturb,7,7_F_him,f,Mismatch,obj,The essay about Tara did disturb,him,6.299217224121094
About,did disturb,7,7_M_his,m,Match,poss,The essay about Craig did disturb,his,6.255602836608887
About,did disturb,7,7_F_his,f,Mismatch,poss,The essay about Tara did disturb,his,8.138997077941895
About,alarmed,8,8_M_him,m,Match,obj,The report about Samuel alarmed,him,5.346762657165527
About,alarmed,8,8_F_him,f,Mismatch,obj,The report about Nicole alarmed,him,5.379318714141846
About,alarmed,8,8_M_his,m,Match,poss,The report about Samuel alarmed,his,5.249989986419678
About,alarmed,8,8_F_his,f,Mismatch,poss,The report about Nicole alarmed,his,5.822225093841553
About,should shock,9,9_M_him,m,Match,obj,The documentary about Daniel should shock,him,8.389547348022461
About,should shock,9,9_F_him,f,Mismatch,obj,The documentary about the ex-wife should shock,him,8.449505805969238
About,should shock,9,9_M_his,m,Match,poss,The documentary about Daniel should shock,his,8.193009376525879
About,should shock,9,9_F_his,f,Mismatch,poss,The documentary about the ex-wife should shock,his,8.689446449279785
About,disgusts,10,10_M_him,m,Match,obj,The commentary about Mitchell disgusts,him,6.3242506980896
About,disgusts,10,10_F_him,f,Mismatch,obj,The commentary about Sarah disgusts,him,6.522584438323975
About,disgusts,10,10_M_his,m,Match,poss,The commentary about Mitchell disgusts,his,7.964630126953125
About,disgusts,10,10_F_his,f,Mismatch,poss,The commentary about Sarah disgusts,his,9.344728469848633
About,shouldn't astound,11,11_M_him,m,Match,obj,The show about George shouldn't astound,him,7.536914825439453
About,shouldn't astound,11,11_F_him,f,Mismatch,obj,The show about that actress shouldn't astound,him,8.732394218444824
About,shouldn't astound,11,11_M_his,m,Match,poss,The show about George shouldn't astound,his,9.50320816040039
About,shouldn't astound,11,11_F_his,f,Mismatch,poss,The show about that actress shouldn't astound,his,10.921916961669922
About,hadn't helped,12,12_M_him,m,Match,obj,The book about George hadn't helped,him,3.4810380935668945
About,hadn't helped,12,12_F_him,f,Mismatch,obj,The book about Claire hadn't helped,him,4.550367832183838
About,hadn't helped,12,12_M_his,m,Match,poss,The book about George hadn't helped,his,4.83603048324585
About,hadn't helped,12,12_F_his,f,Mismatch,poss,The book about Claire hadn't helped,his,5.717185974121094
About,was impressing,13,13_M_him,m,Match,obj,The pamphlet about Omar was impressing,him,5.0222578048706055
About,was impressing,13,13_F_him,f,Mismatch,obj,The pamphlet about Teresa was impressing,him,5.612457752227783
About,was impressing,13,13_M_his,m,Match,poss,The pamphlet about Omar was impressing,his,6.303404808044434
About,was impressing,13,13_F_his,f,Mismatch,poss,The pamphlet about Teresa was impressing,his,7.056275367736816
About,harmed,14,14_M_him,m,Match,obj,The brochure about Joel harmed,him,5.943475246429443
About,harmed,14,14_F_him,f,Mismatch,obj,The brochure about Laura harmed,him,6.297799110412598
About,harmed,14,14_M_his,m,Match,poss,The brochure about Joel harmed,his,3.777308464050293
About,harmed,14,14_F_his,f,Mismatch,poss,The brochure about Laura harmed,his,6.830488204956055
About,had underwhelmed,15,15_M_him,m,Match,obj,The play about Joseph had underwhelmed,him,4.662581920623779
About,had underwhelmed,15,15_F_him,f,Mismatch,obj,The play about Elaine had underwhelmed,him,5.602614402770996
About,had underwhelmed,15,15_M_his,m,Match,poss,The play about Joseph had underwhelmed,his,6.0599284172058105
About,had underwhelmed,15,15_F_his,f,Mismatch,poss,The play about Elaine had underwhelmed,his,7.37235689163208
About,could underwhelm,16,16_M_him,m,Match,obj,The movie about that nephew could underwhelm,him,5.618905544281006
About,could underwhelm,16,16_F_him,f,Mismatch,obj,The movie about Margaret could underwhelm,him,7.118297100067139
About,could underwhelm,16,16_M_his,m,Match,poss,The movie about that nephew could underwhelm,his,6.3338799476623535
About,could underwhelm,16,16_F_his,f,Mismatch,poss,The movie about Margaret could underwhelm,his,7.969624996185303
About,impresses,17,17_M_him,m,Match,obj,The newspaper article about Jason impresses,him,5.079840660095215
About,impresses,17,17_F_him,f,Mismatch,obj,The newspaper article about Marie impresses,him,5.102619171142578
About,impresses,17,17_M_his,m,Match,poss,The newspaper article about Jason impresses,his,4.93840217590332
About,impresses,17,17_F_his,f,Mismatch,poss,The newspaper article about Marie impresses,his,6.668415546417236
About,has hurt,18,18_M_him,m,Match,obj,The story about Frank has hurt,him,4.250368118286133
About,has hurt,18,18_F_him,f,Mismatch,obj,The story about Teresa has hurt,him,5.125624179840088
About,has hurt,18,18_M_his,m,Match,poss,The story about Frank has hurt,his,4.582038879394531
About,has hurt,18,18_F_his,f,Mismatch,poss,The story about Teresa has hurt,his,5.827346324920654
About,disgusted,19,19_M_him,m,Match,obj,The essay about Bradley disgusted,him,5.889155864715576
About,disgusted,19,19_F_him,f,Mismatch,obj,The essay about Sabrina disgusted,him,6.034271240234375
About,disgusted,19,19_M_his,m,Match,poss,The essay about Bradley disgusted,his,6.623655796051025
About,disgusted,19,19_F_his,f,Mismatch,poss,The essay about Sabrina disgusted,his,7.329209327697754
About,has bothered,20,20_M_him,m,Match,obj,The report about Curtis has bothered,him,4.834981918334961
About,has bothered,20,20_F_him,f,Mismatch,obj,The report about Heidi has bothered,him,5.391836166381836
About,has bothered,20,20_M_his,m,Match,poss,The report about Curtis has bothered,his,7.322098731994629
About,has bothered,20,20_F_his,f,Mismatch,poss,The report about Heidi has bothered,his,8.688267707824707
About,shouldn't stun,21,21_M_him,m,Match,obj,The documentary about Marcus shouldn't stun,him,5.976691246032715
About,shouldn't stun,21,21_F_him,f,Mismatch,obj,The documentary about Connie shouldn't stun,him,6.857453346252441
About,shouldn't stun,21,21_M_his,m,Match,poss,The documentary about Marcus shouldn't stun,his,7.3360981941223145
About,shouldn't stun,21,21_F_his,f,Mismatch,poss,The documentary about Connie shouldn't stun,his,8.306477546691895
About,underwhelms,22,22_M_him,m,Match,obj,The commentary about Bill underwhelms,him,7.000239849090576
About,underwhelms,22,22_F_him,f,Mismatch,obj,The commentary about Tanya underwhelms,him,7.407212257385254
