exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,gpt3_surp
About,shouldn't confuse,0,0_M_him,m,Match,obj,The book about Peter shouldn't confuse,him,3.1887567043304443
About,shouldn't confuse,0,0_F_him,f,Mismatch,obj,The book about Michelle shouldn't confuse,him,12.977201461791992
About,shouldn't confuse,0,0_M_his,m,Match,poss,The book about Peter shouldn't confuse,his,5.919997692108154
About,shouldn't confuse,0,0_F_his,f,Mismatch,poss,The book about Michelle shouldn't confuse,his,14.365013122558594
About,confuses,1,1_M_him,m,Match,obj,The pamphlet about Todd confuses,him,2.839509963989258
About,confuses,1,1_F_him,f,Mismatch,obj,The pamphlet about Kimberley confuses,him,5.442729949951172
About,confuses,1,1_M_his,m,Match,poss,The pamphlet about Todd confuses,his,3.6682374477386475
About,confuses,1,1_F_his,f,Mismatch,poss,The pamphlet about Kimberley confuses,his,9.369441986083984
About,embarrassed,2,2_M_him,m,Match,obj,The brochure about Bradley embarrassed,him,1.6300570964813232
About,embarrassed,2,2_F_him,f,Mismatch,obj,The brochure about Holly embarrassed,him,4.461857795715332
About,embarrassed,2,2_M_his,m,Match,poss,The brochure about Bradley embarrassed,his,4.62273645401001
About,embarrassed,2,2_F_his,f,Mismatch,poss,The brochure about Holly embarrassed,his,9.977648735046387
About,was hindering,3,3_M_him,m,Match,obj,The play about Todd was hindering,him,7.032168388366699
About,was hindering,3,3_F_him,f,Mismatch,obj,The play about that mother was hindering,him,6.331931114196777
About,was hindering,3,3_M_his,m,Match,poss,The play about Todd was hindering,his,2.6699447631835938
About,was hindering,3,3_F_his,f,Mismatch,poss,The play about that mother was hindering,his,4.437444686889648
About,wouldn't hinder,4,4_M_him,m,Match,obj,The movie about Eric wouldn't hinder,him,4.6088762283325195
About,wouldn't hinder,4,4_F_him,f,Mismatch,obj,The movie about Elizabeth wouldn't hinder,him,7.766709804534912
About,wouldn't hinder,4,4_M_his,m,Match,poss,The movie about Eric wouldn't hinder,his,1.8863476514816284
About,wouldn't hinder,4,4_F_his,f,Mismatch,poss,The movie about Elizabeth wouldn't hinder,his,5.263909816741943
About,should upset,5,5_M_him,m,Match,obj,The newspaper article about Steven should upset,him,1.2799432277679443
About,should upset,5,5_F_him,f,Mismatch,obj,The newspaper article about Kirsten should upset,him,9.800593376159668
About,should upset,5,5_M_his,m,Match,poss,The newspaper article about Steven should upset,his,3.203984260559082
About,should upset,5,5_F_his,f,Mismatch,poss,The newspaper article about Kirsten should upset,his,11.130924224853516
About,was impressing,6,6_M_him,m,Match,obj,The story about Donald was impressing,him,21.590198516845703
About,was impressing,6,6_F_him,f,Mismatch,obj,The story about Sarah was impressing,him,16.800704956054688
About,was impressing,6,6_M_his,m,Match,poss,The story about Donald was impressing,his,18.81784439086914
About,was impressing,6,6_F_his,f,Mismatch,poss,The story about Sarah was impressing,his,18.77231216430664
About,did disturb,7,7_M_him,m,Match,obj,The essay about Craig did disturb,him,6.662506580352783
About,did disturb,7,7_F_him,f,Mismatch,obj,The essay about Tara did disturb,him,7.341139793395996
About,did disturb,7,7_M_his,m,Match,poss,The essay about Craig did disturb,his,10.254000663757324
About,did disturb,7,7_F_his,f,Mismatch,poss,The essay about Tara did disturb,his,11.72314739227295
About,alarmed,8,8_M_him,m,Match,obj,The report about Samuel alarmed,him,4.886794567108154
About,alarmed,8,8_F_him,f,Mismatch,obj,The report about Nicole alarmed,him,4.698216438293457
About,alarmed,8,8_M_his,m,Match,poss,The report about Samuel alarmed,his,4.986733913421631
About,alarmed,8,8_F_his,f,Mismatch,poss,The report about Nicole alarmed,his,8.869903564453125
About,should shock,9,9_M_him,m,Match,obj,The documentary about Daniel should shock,him,8.960662841796875
About,should shock,9,9_F_him,f,Mismatch,obj,The documentary about the ex-wife should shock,him,5.337141513824463
About,should shock,9,9_M_his,m,Match,poss,The documentary about Daniel should shock,his,8.355040550231934
About,should shock,9,9_F_his,f,Mismatch,poss,The documentary about the ex-wife should shock,his,7.8250956535339355
About,disgusts,10,10_M_him,m,Match,obj,The commentary about Mitchell disgusts,him,7.3470458984375
About,disgusts,10,10_F_him,f,Mismatch,obj,The commentary about Sarah disgusts,him,8.52022647857666
About,disgusts,10,10_M_his,m,Match,poss,The commentary about Mitchell disgusts,his,11.901956558227539
About,disgusts,10,10_F_his,f,Mismatch,poss,The commentary about Sarah disgusts,his,14.342230796813965
About,shouldn't astound,11,11_M_him,m,Match,obj,The show about George shouldn't astound,him,6.943716049194336
About,shouldn't astound,11,11_F_him,f,Mismatch,obj,The show about that actress shouldn't astound,him,8.515168190002441
About,shouldn't astound,11,11_M_his,m,Match,poss,The show about George shouldn't astound,his,8.633005142211914
About,shouldn't astound,11,11_F_his,f,Mismatch,poss,The show about that actress shouldn't astound,his,12.924967765808105
About,hadn't helped,12,12_M_him,m,Match,obj,The book about George hadn't helped,him,4.472137451171875
About,hadn't helped,12,12_F_him,f,Mismatch,obj,The book about Claire hadn't helped,him,5.432116985321045
About,hadn't helped,12,12_M_his,m,Match,poss,The book about George hadn't helped,his,7.335034370422363
About,hadn't helped,12,12_F_his,f,Mismatch,poss,The book about Claire hadn't helped,his,8.480890274047852
About,was impressing,13,13_M_him,m,Match,obj,The pamphlet about Omar was impressing,him,4.927023887634277
About,was impressing,13,13_F_him,f,Mismatch,obj,The pamphlet about Teresa was impressing,him,11.447750091552734
About,was impressing,13,13_M_his,m,Match,poss,The pamphlet about Omar was impressing,his,7.022957801818848
About,was impressing,13,13_F_his,f,Mismatch,poss,The pamphlet about Teresa was impressing,his,14.380186080932617
About,harmed,14,14_M_him,m,Match,obj,The brochure about Joel harmed,him,2.6967406272888184
About,harmed,14,14_F_him,f,Mismatch,obj,The brochure about Laura harmed,him,6.728916645050049
About,harmed,14,14_M_his,m,Match,poss,The brochure about Joel harmed,his,1.1754889488220215
About,harmed,14,14_F_his,f,Mismatch,poss,The brochure about Laura harmed,his,6.799503326416016
About,had underwhelmed,15,15_M_him,m,Match,obj,The play about Joseph had underwhelmed,him,4.8114495277404785
About,had underwhelmed,15,15_F_him,f,Mismatch,obj,The play about Elaine had underwhelmed,him,6.555674076080322
About,had underwhelmed,15,15_M_his,m,Match,poss,The play about Joseph had underwhelmed,his,8.682125091552734
About,had underwhelmed,15,15_F_his,f,Mismatch,poss,The play about Elaine had underwhelmed,his,10.805027961730957
About,could underwhelm,16,16_M_him,m,Match,obj,The movie about that nephew could underwhelm,him,6.886721134185791
About,could underwhelm,16,16_F_him,f,Mismatch,obj,The movie about Margaret could underwhelm,him,10.939159393310547
About,could underwhelm,16,16_M_his,m,Match,poss,The movie about that nephew could underwhelm,his,7.338985443115234
About,could underwhelm,16,16_F_his,f,Mismatch,poss,The movie about Margaret could underwhelm,his,11.596797943115234
About,impresses,17,17_M_him,m,Match,obj,The newspaper article about Jason impresses,him,5.518759727478027
About,impresses,17,17_F_him,f,Mismatch,obj,The newspaper article about Marie impresses,him,7.635848522186279
About,impresses,17,17_M_his,m,Match,poss,The newspaper article about Jason impresses,his,2.0244381427764893
About,impresses,17,17_F_his,f,Mismatch,poss,The newspaper article about Marie impresses,his,10.958114624023438
About,has hurt,18,18_M_him,m,Match,obj,The story about Frank has hurt,him,5.416049003601074
About,has hurt,18,18_F_him,f,Mismatch,obj,The story about Teresa has hurt,him,6.297182083129883
About,has hurt,18,18_M_his,m,Match,poss,The story about Frank has hurt,his,4.283907413482666
About,has hurt,18,18_F_his,f,Mismatch,poss,The story about Teresa has hurt,his,6.963134288787842
About,disgusted,19,19_M_him,m,Match,obj,The essay about Bradley disgusted,him,3.3829143047332764
About,disgusted,19,19_F_him,f,Mismatch,obj,The essay about Sabrina disgusted,him,4.252522945404053
About,disgusted,19,19_M_his,m,Match,poss,The essay about Bradley disgusted,his,5.090024948120117
About,disgusted,19,19_F_his,f,Mismatch,poss,The essay about Sabrina disgusted,his,10.078466415405273
About,has bothered,20,20_M_him,m,Match,obj,The report about Curtis has bothered,him,4.440045356750488
About,has bothered,20,20_F_him,f,Mismatch,obj,The report about Heidi has bothered,him,4.952673435211182
About,has bothered,20,20_M_his,m,Match,poss,The report about Curtis has bothered,his,8.571968078613281
About,has bothered,20,20_F_his,f,Mismatch,poss,The report about Heidi has bothered,his,10.2780179977417
About,shouldn't stun,21,21_M_him,m,Match,obj,The documentary about Marcus shouldn't stun,him,8.649211883544922
About,shouldn't stun,21,21_F_him,f,Mismatch,obj,The documentary about Connie shouldn't stun,him,8.49260139465332
About,shouldn't stun,21,21_M_his,m,Match,poss,The documentary about Marcus shouldn't stun,his,9.801377296447754
About,shouldn't stun,21,21_F_his,f,Mismatch,poss,The documentary about Connie shouldn't stun,his,11.134721755981445
About,underwhelms,22,22_M_him,m,Match,obj,The commentary about Bill underwhelms,him,7.8300089836120605
About,underwhelms,22,22_F_him,f,Mismatch,obj,The commentary about Tanya underwhelms,him,9.68405532836914
About,underwhelms,22,22_M_his,m,Match,poss,The commentary about Bill underwhelms,his,9.966564178466797
About,underwhelms,22,22_F_his,f,Mismatch,poss,The commentary about Tanya underwhelms,his,14.001601219177246
About,can't upset,23,23_M_him,m,Match,obj,The show about the nephew can't upset,him,4.412585258483887
