exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-neo-2.7B_surp
OneEmbedding,asserted,understood,0,0_MM_him,mm,MatchMatch,obj,Stephen asserted that Gerald understood,him,4.288775444030762
OneEmbedding,asserted,understood,0,0_MF_him,mf,MatchMismatch,obj,Stephen asserted that Ann understood,him,4.4381489753723145
OneEmbedding,asserted,understood,0,0_FM_him,fm,MismatchMatch,obj,Stacy asserted that Gerald understood,him,4.998260021209717
OneEmbedding,asserted,understood,0,0_FF_him,ff,MismatchMismatch,obj,Stacy asserted that Ann understood,him,4.691371917724609
OneEmbedding,asserted,understood,0,0_MM_his,mm,MatchMatch,poss,Stephen asserted that Gerald understood,his,3.913975715637207
OneEmbedding,asserted,understood,0,0_MF_his,mf,MatchMismatch,poss,Stephen asserted that Ann understood,his,4.062117576599121
OneEmbedding,asserted,understood,0,0_FM_his,fm,MismatchMatch,poss,Stacy asserted that Gerald understood,his,4.431057929992676
OneEmbedding,asserted,understood,0,0_FF_his,ff,MismatchMismatch,poss,Stacy asserted that Ann understood,his,4.854525089263916
OneEmbedding,believed,visited,1,1_MM_him,mm,MatchMatch,obj,Russell believed that this boy visited,him,3.3032121658325195
OneEmbedding,believed,visited,1,1_MF_him,mf,MatchMismatch,obj,Russell believed that Judy visited,him,2.4113430976867676
OneEmbedding,believed,visited,1,1_FM_him,fm,MismatchMatch,obj,Ruth believed that this boy visited,him,3.9922845363616943
OneEmbedding,believed,visited,1,1_FF_him,ff,MismatchMismatch,obj,Ruth believed that Judy visited,him,2.9228994846343994
OneEmbedding,believed,visited,1,1_MM_his,mm,MatchMatch,poss,Russell believed that this boy visited,his,3.229015588760376
OneEmbedding,believed,visited,1,1_MF_his,mf,MatchMismatch,poss,Russell believed that Judy visited,his,4.654135227203369
OneEmbedding,believed,visited,1,1_FM_his,fm,MismatchMatch,poss,Ruth believed that this boy visited,his,3.561561107635498
OneEmbedding,believed,visited,1,1_FF_his,ff,MismatchMismatch,poss,Ruth believed that Judy visited,his,4.982825756072998
OneEmbedding,was disliking,can't astound,2,2_MM_him,mm,MatchMatch,obj,The guy was disliking that Vincent can't astound,him,2.906486749649048
OneEmbedding,was disliking,can't astound,2,2_MF_him,mf,MatchMismatch,obj,The guy was disliking that Sara can't astound,him,1.96381413936615
OneEmbedding,was disliking,can't astound,2,2_FM_him,fm,MismatchMatch,obj,Christina was disliking that Vincent can't astound,him,5.5807881355285645
OneEmbedding,was disliking,can't astound,2,2_FF_him,ff,MismatchMismatch,obj,Christina was disliking that Sara can't astound,him,4.6259989738464355
OneEmbedding,was disliking,can't astound,2,2_MM_his,mm,MatchMatch,poss,The guy was disliking that Vincent can't astound,his,4.568464279174805
