exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-xl_surp
TwoEmbedding,tells,understood,0,0_MMM_him,mmm,MatchMatchMatch,obj,Bill tells Stephen that Gerald understood,him,5.108509063720703
TwoEmbedding,tells,understood,0,0_MMF_him,mmf,MatchMatchMismatch,obj,Bill tells Stephen that Ann understood,him,4.848559379577637
TwoEmbedding,tells,understood,0,0_MFM_him,mfm,MatchMismatchMatch,obj,Bill tells Stacy that Gerald understood,him,5.709768295288086
TwoEmbedding,tells,understood,0,0_MFF_him,mff,MatchMismatchMismatch,obj,Bill tells Stacy that Ann understood,him,5.5171003341674805
TwoEmbedding,tells,understood,0,0_FMM_him,fmm,MismatchMatchMatch,obj,Lori tells Stephen that Gerald understood,him,5.301352024078369
TwoEmbedding,tells,understood,0,0_FMF_him,fmf,MismatchMatchMismatch,obj,Lori tells Stephen that Ann understood,him,4.995112895965576
TwoEmbedding,tells,understood,0,0_FFM_him,ffm,MismatchMismatchMatch,obj,Lori tells Stacy that Gerald understood,him,6.215816020965576
TwoEmbedding,tells,understood,0,0_FFF_him,fff,MismatchMismatchMismatch,obj,Lori tells Stacy that Ann understood,him,5.965712070465088
TwoEmbedding,tells,understood,0,0_MMM_his,mmm,MatchMatchMatch,poss,Bill tells Stephen that Gerald understood,his,4.249669075012207
TwoEmbedding,tells,understood,0,0_MMF_his,mmf,MatchMatchMismatch,poss,Bill tells Stephen that Ann understood,his,4.311318874359131
TwoEmbedding,tells,understood,0,0_MFM_his,mfm,MatchMismatchMatch,poss,Bill tells Stacy that Gerald understood,his,4.056517124176025
TwoEmbedding,tells,understood,0,0_MFF_his,mff,MatchMismatchMismatch,poss,Bill tells Stacy that Ann understood,his,4.2582597732543945
TwoEmbedding,tells,understood,0,0_FMM_his,fmm,MismatchMatchMatch,poss,Lori tells Stephen that Gerald understood,his,4.179382801055908
TwoEmbedding,tells,understood,0,0_FMF_his,fmf,MismatchMatchMismatch,poss,Lori tells Stephen that Ann understood,his,4.3936848640441895
TwoEmbedding,tells,understood,0,0_FFM_his,ffm,MismatchMismatchMatch,poss,Lori tells Stacy that Gerald understood,his,4.091616630554199
TwoEmbedding,tells,understood,0,0_FFF_his,fff,MismatchMismatchMismatch,poss,Lori tells Stacy that Ann understood,his,4.586495876312256
TwoEmbedding,shows,visited,1,1_MMM_him,mmm,MatchMatchMatch,obj,Jason shows Russell that this boy visited,him,1.5350197553634644
TwoEmbedding,shows,visited,1,1_MMF_him,mmf,MatchMatchMismatch,obj,Jason shows Russell that Judy visited,him,1.3920882940292358
TwoEmbedding,shows,visited,1,1_MFM_him,mfm,MatchMismatchMatch,obj,Jason shows Ruth that this boy visited,him,3.2026467323303223
TwoEmbedding,shows,visited,1,1_MFF_him,mff,MatchMismatchMismatch,obj,Jason shows Ruth that Judy visited,him,2.272463798522949
TwoEmbedding,shows,visited,1,1_FMM_him,fmm,MismatchMatchMatch,obj,Carolyn shows Russell that this boy visited,him,3.3087587356567383
TwoEmbedding,shows,visited,1,1_FMF_him,fmf,MismatchMatchMismatch,obj,Carolyn shows Russell that Judy visited,him,2.1918649673461914
TwoEmbedding,shows,visited,1,1_FFM_him,ffm,MismatchMismatchMatch,obj,Carolyn shows Ruth that this boy visited,him,5.856000900268555
TwoEmbedding,shows,visited,1,1_FFF_him,fff,MismatchMismatchMismatch,obj,Carolyn shows Ruth that Judy visited,him,4.831457138061523
TwoEmbedding,shows,visited,1,1_MMM_his,mmm,MatchMatchMatch,poss,Jason shows Russell that this boy visited,his,2.7454335689544678
TwoEmbedding,shows,visited,1,1_MMF_his,mmf,MatchMatchMismatch,poss,Jason shows Russell that Judy visited,his,3.3869919776916504
TwoEmbedding,shows,visited,1,1_MFM_his,mfm,MatchMismatchMatch,poss,Jason shows Ruth that this boy visited,his,3.6934659481048584
TwoEmbedding,shows,visited,1,1_MFF_his,mff,MatchMismatchMismatch,poss,Jason shows Ruth that Judy visited,his,3.9662370681762695
TwoEmbedding,shows,visited,1,1_FMM_his,fmm,MismatchMatchMatch,poss,Carolyn shows Russell that this boy visited,his,3.5787549018859863
TwoEmbedding,shows,visited,1,1_FMF_his,fmf,MismatchMatchMismatch,poss,Carolyn shows Russell that Judy visited,his,4.39169979095459
TwoEmbedding,shows,visited,1,1_FFM_his,ffm,MismatchMismatchMatch,poss,Carolyn shows Ruth that this boy visited,his,5.040729999542236
TwoEmbedding,shows,visited,1,1_FFF_his,fff,MismatchMismatchMismatch,poss,Carolyn shows Ruth that Judy visited,his,6.879899501800537
TwoEmbedding,warns,can't astound,2,2_MMM_him,mmm,MatchMatchMatch,obj,Adam warns the guy that Vincent can't astound,him,1.0654854774475098
TwoEmbedding,warns,can't astound,2,2_MMF_him,mmf,MatchMatchMismatch,obj,Adam warns the guy that Sara can't astound,him,0.6789618134498596
TwoEmbedding,warns,can't astound,2,2_MFM_him,mfm,MatchMismatchMatch,obj,Adam warns Christina that Vincent can't astound,him,3.7967514991760254
TwoEmbedding,warns,can't astound,2,2_MFF_him,mff,MatchMismatchMismatch,obj,Adam warns Christina that Sara can't astound,him,1.703722596168518
TwoEmbedding,warns,can't astound,2,2_FMM_him,fmm,MismatchMatchMatch,obj,Amanda warns the guy that Vincent can't astound,him,1.185804843902588
TwoEmbedding,warns,can't astound,2,2_FMF_him,fmf,MismatchMatchMismatch,obj,Amanda warns the guy that Sara can't astound,him,0.6080400943756104
TwoEmbedding,warns,can't astound,2,2_FFM_him,ffm,MismatchMismatchMatch,obj,Amanda warns Christina that Vincent can't astound,him,4.870970726013184
TwoEmbedding,warns,can't astound,2,2_FFF_him,fff,MismatchMismatchMismatch,obj,Amanda warns Christina that Sara can't astound,him,3.0977556705474854
TwoEmbedding,warns,can't astound,2,2_MMM_his,mmm,MatchMatchMatch,poss,Adam warns the guy that Vincent can't astound,his,6.043645858764648
TwoEmbedding,warns,can't astound,2,2_MMF_his,mmf,MatchMatchMismatch,poss,Adam warns the guy that Sara can't astound,his,7.800532341003418
TwoEmbedding,warns,can't astound,2,2_MFM_his,mfm,MatchMismatchMatch,poss,Adam warns Christina that Vincent can't astound,his,6.949376583099365
TwoEmbedding,warns,can't astound,2,2_MFF_his,mff,MatchMismatchMismatch,poss,Adam warns Christina that Sara can't astound,his,8.440407752990723
TwoEmbedding,warns,can't astound,2,2_FMM_his,fmm,MismatchMatchMatch,poss,Amanda warns the guy that Vincent can't astound,his,6.2451701164245605
TwoEmbedding,warns,can't astound,2,2_FMF_his,fmf,MismatchMatchMismatch,poss,Amanda warns the guy that Sara can't astound,his,7.833197593688965
TwoEmbedding,warns,can't astound,2,2_FFM_his,ffm,MismatchMismatchMatch,poss,Amanda warns Christina that Vincent can't astound,his,7.898275852203369
TwoEmbedding,warns,can't astound,2,2_FFF_his,fff,MismatchMismatchMismatch,poss,Amanda warns Christina that Sara can't astound,his,10.122198104858398
TwoEmbedding,shows,fired,3,3_MMM_him,mmm,MatchMatchMatch,obj,Stephen shows Rodney that Marcus fired,him,2.6557910442352295
TwoEmbedding,shows,fired,3,3_MMF_him,mmf,MatchMatchMismatch,obj,Stephen shows Rodney that Naomi fired,him,1.666480541229248
TwoEmbedding,shows,fired,3,3_MFM_him,mfm,MatchMismatchMatch,obj,Stephen shows Margaret that Marcus fired,him,2.9241204261779785
TwoEmbedding,shows,fired,3,3_MFF_him,mff,MatchMismatchMismatch,obj,Stephen shows Margaret that Naomi fired,him,3.3437860012054443
