exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2_surp
OneEmbedding,asserted,understood,0,0_MM_him,mm,MatchMatch,obj,Stephen asserted that Gerald understood,him,6.7736005783081055
OneEmbedding,asserted,understood,0,0_MF_him,mf,MatchMismatch,obj,Stephen asserted that Ann understood,him,6.008208274841309
OneEmbedding,asserted,understood,0,0_FM_him,fm,MismatchMatch,obj,Stacy asserted that Gerald understood,him,6.859325885772705
OneEmbedding,asserted,understood,0,0_FF_him,ff,MismatchMismatch,obj,Stacy asserted that Ann understood,him,5.965300559997559
OneEmbedding,asserted,understood,0,0_MM_his,mm,MatchMatch,poss,Stephen asserted that Gerald understood,his,3.6162962913513184
OneEmbedding,asserted,understood,0,0_MF_his,mf,MatchMismatch,poss,Stephen asserted that Ann understood,his,4.945768356323242
OneEmbedding,asserted,understood,0,0_FM_his,fm,MismatchMatch,poss,Stacy asserted that Gerald understood,his,3.600978136062622
OneEmbedding,asserted,understood,0,0_FF_his,ff,MismatchMismatch,poss,Stacy asserted that Ann understood,his,5.261740684509277
OneEmbedding,believed,visited,1,1_MM_him,mm,MatchMatch,obj,Russell believed that this boy visited,him,3.5330002307891846
OneEmbedding,believed,visited,1,1_MF_him,mf,MatchMismatch,obj,Russell believed that Judy visited,him,3.126572370529175
OneEmbedding,believed,visited,1,1_FM_him,fm,MismatchMatch,obj,Ruth believed that this boy visited,him,2.9854564666748047
OneEmbedding,believed,visited,1,1_FF_him,ff,MismatchMismatch,obj,Ruth believed that Judy visited,him,2.758225917816162
OneEmbedding,believed,visited,1,1_MM_his,mm,MatchMatch,poss,Russell believed that this boy visited,his,2.7345826625823975
OneEmbedding,believed,visited,1,1_MF_his,mf,MatchMismatch,poss,Russell believed that Judy visited,his,5.075342178344727
OneEmbedding,believed,visited,1,1_FM_his,fm,MismatchMatch,poss,Ruth believed that this boy visited,his,2.767178535461426
OneEmbedding,believed,visited,1,1_FF_his,ff,MismatchMismatch,poss,Ruth believed that Judy visited,his,5.227368354797363
OneEmbedding,was disliking,can't astound,2,2_MM_him,mm,MatchMatch,obj,The guy was disliking that Vincent can't astound,him,3.5062406063079834
OneEmbedding,was disliking,can't astound,2,2_MF_him,mf,MatchMismatch,obj,The guy was disliking that Sara can't astound,him,2.58498215675354
OneEmbedding,was disliking,can't astound,2,2_FM_him,fm,MismatchMatch,obj,Christina was disliking that Vincent can't astound,him,3.6757664680480957
OneEmbedding,was disliking,can't astound,2,2_FF_him,ff,MismatchMismatch,obj,Christina was disliking that Sara can't astound,him,3.4845709800720215
OneEmbedding,was disliking,can't astound,2,2_MM_his,mm,MatchMatch,poss,The guy was disliking that Vincent can't astound,his,5.155733108520508
OneEmbedding,was disliking,can't astound,2,2_MF_his,mf,MatchMismatch,poss,The guy was disliking that Sara can't astound,his,6.5317230224609375
OneEmbedding,was disliking,can't astound,2,2_FM_his,fm,MismatchMatch,poss,Christina was disliking that Vincent can't astound,his,4.7371721267700195
OneEmbedding,was disliking,can't astound,2,2_FF_his,ff,MismatchMismatch,poss,Christina was disliking that Sara can't astound,his,7.04870080947876
OneEmbedding,wasn't expecting,fired,3,3_MM_him,mm,MatchMatch,obj,Rodney wasn't expecting that Marcus fired,him,3.2918291091918945
OneEmbedding,wasn't expecting,fired,3,3_MF_him,mf,MatchMismatch,obj,Rodney wasn't expecting that Naomi fired,him,2.352332592010498
OneEmbedding,wasn't expecting,fired,3,3_FM_him,fm,MismatchMatch,obj,Margaret wasn't expecting that Marcus fired,him,3.1978113651275635
OneEmbedding,wasn't expecting,fired,3,3_FF_him,ff,MismatchMismatch,obj,Margaret wasn't expecting that Naomi fired,him,3.0786147117614746
OneEmbedding,wasn't expecting,fired,3,3_MM_his,mm,MatchMatch,poss,Rodney wasn't expecting that Marcus fired,his,4.996983528137207
OneEmbedding,wasn't expecting,fired,3,3_MF_his,mf,MatchMismatch,poss,Rodney wasn't expecting that Naomi fired,his,6.5492706298828125
OneEmbedding,wasn't expecting,fired,3,3_FM_his,fm,MismatchMatch,poss,Margaret wasn't expecting that Marcus fired,his,4.519760608673096
OneEmbedding,wasn't expecting,fired,3,3_FF_his,ff,MismatchMismatch,poss,Margaret wasn't expecting that Naomi fired,his,7.0231757164001465
OneEmbedding,had speculated,returns to,4,4_MM_him,mm,MatchMatch,obj,Aaron had speculated that Eric returns to,him,9.818519592285156
OneEmbedding,had speculated,returns to,4,4_MF_him,mf,MatchMismatch,obj,Aaron had speculated that Tracy returns to,him,9.671838760375977
OneEmbedding,had speculated,returns to,4,4_FM_him,fm,MismatchMatch,obj,Tamara had speculated that Eric returns to,him,10.265654563903809
OneEmbedding,had speculated,returns to,4,4_FF_him,ff,MismatchMismatch,obj,Tamara had speculated that Tracy returns to,him,10.10987377166748
OneEmbedding,had speculated,returns to,4,4_MM_his,mm,MatchMatch,poss,Aaron had speculated that Eric returns to,his,3.9086458683013916
OneEmbedding,had speculated,returns to,4,4_MF_his,mf,MatchMismatch,poss,Aaron had speculated that Tracy returns to,his,4.2944016456604
OneEmbedding,had speculated,returns to,4,4_FM_his,fm,MismatchMatch,poss,Tamara had speculated that Eric returns to,his,4.002228260040283
OneEmbedding,had speculated,returns to,4,4_FF_his,ff,MismatchMismatch,poss,Tamara had speculated that Tracy returns to,his,4.247945785522461
OneEmbedding,conceals,wasn't alarming,5,5_MM_him,mm,MatchMatch,obj,Donald conceals that Scott wasn't alarming,him,4.5681610107421875
OneEmbedding,conceals,wasn't alarming,5,5_MF_him,mf,MatchMismatch,obj,Donald conceals that Alice wasn't alarming,him,2.7135276794433594
OneEmbedding,conceals,wasn't alarming,5,5_FM_him,fm,MismatchMatch,obj,Angela conceals that Scott wasn't alarming,him,4.290314197540283
OneEmbedding,conceals,wasn't alarming,5,5_FF_him,ff,MismatchMismatch,obj,Angela conceals that Alice wasn't alarming,him,3.9420249462127686
OneEmbedding,conceals,wasn't alarming,5,5_MM_his,mm,MatchMatch,poss,Donald conceals that Scott wasn't alarming,his,5.060851573944092
OneEmbedding,conceals,wasn't alarming,5,5_MF_his,mf,MatchMismatch,poss,Donald conceals that Alice wasn't alarming,his,7.257876396179199
OneEmbedding,conceals,wasn't alarming,5,5_FM_his,fm,MismatchMatch,poss,Angela conceals that Scott wasn't alarming,his,4.844114780426025
OneEmbedding,conceals,wasn't alarming,5,5_FF_his,ff,MismatchMismatch,poss,Angela conceals that Alice wasn't alarming,his,8.970247268676758
OneEmbedding,hadn't expected,was investigating,6,6_MM_him,mm,MatchMatch,obj,Jason hadn't expected that Adam was investigating,him,4.0896525382995605
OneEmbedding,hadn't expected,was investigating,6,6_MF_him,mf,MatchMismatch,obj,Jason hadn't expected that Victoria was investigating,him,2.8942391872406006
OneEmbedding,hadn't expected,was investigating,6,6_FM_him,fm,MismatchMatch,obj,Amanda hadn't expected that Adam was investigating,him,4.317013740539551
OneEmbedding,hadn't expected,was investigating,6,6_FF_him,ff,MismatchMismatch,obj,Amanda hadn't expected that Victoria was investigating,him,3.7266738414764404
OneEmbedding,hadn't expected,was investigating,6,6_MM_his,mm,MatchMatch,poss,Jason hadn't expected that Adam was investigating,his,4.26249361038208
OneEmbedding,hadn't expected,was investigating,6,6_MF_his,mf,MatchMismatch,poss,Jason hadn't expected that Victoria was investigating,his,4.673524856567383
OneEmbedding,hadn't expected,was investigating,6,6_FM_his,fm,MismatchMatch,poss,Amanda hadn't expected that Adam was investigating,his,4.049260139465332
OneEmbedding,hadn't expected,was investigating,6,6_FF_his,ff,MismatchMismatch,poss,Amanda hadn't expected that Victoria was investigating,his,5.507368564605713
OneEmbedding,concluded,can reference,7,7_MM_him,mm,MatchMatch,obj,Timothy concluded that this husband can reference,him,7.473878383636475
OneEmbedding,concluded,can reference,7,7_MF_him,mf,MatchMismatch,obj,Timothy concluded that Jodi can reference,him,6.6525115966796875
OneEmbedding,concluded,can reference,7,7_FM_him,fm,MismatchMatch,obj,Tiffany concluded that this husband can reference,him,7.273515701293945
OneEmbedding,concluded,can reference,7,7_FF_him,ff,MismatchMismatch,obj,Tiffany concluded that Jodi can reference,him,6.332457542419434
OneEmbedding,concluded,can reference,7,7_MM_his,mm,MatchMatch,poss,Timothy concluded that this husband can reference,his,3.5014147758483887
OneEmbedding,concluded,can reference,7,7_MF_his,mf,MatchMismatch,poss,Timothy concluded that Jodi can reference,his,5.292313575744629
OneEmbedding,concluded,can reference,7,7_FM_his,fm,MismatchMatch,poss,Tiffany concluded that this husband can reference,his,3.1447653770446777
OneEmbedding,concluded,can reference,7,7_FF_his,ff,MismatchMismatch,poss,Tiffany concluded that Jodi can reference,his,5.056869029998779
OneEmbedding,isn't knowing,didn't reference,8,8_MM_him,mm,MatchMatch,obj,Scott isn't knowing that Guy didn't reference,him,3.644926071166992
OneEmbedding,isn't knowing,didn't reference,8,8_MF_him,mf,MatchMismatch,obj,Scott isn't knowing that Kristen didn't reference,him,4.999037742614746
OneEmbedding,isn't knowing,didn't reference,8,8_FM_him,fm,MismatchMatch,obj,Stacy isn't knowing that Guy didn't reference,him,3.475053310394287
OneEmbedding,isn't knowing,didn't reference,8,8_FF_him,ff,MismatchMismatch,obj,Stacy isn't knowing that Kristen didn't reference,him,5.11681604385376
OneEmbedding,isn't knowing,didn't reference,8,8_MM_his,mm,MatchMatch,poss,Scott isn't knowing that Guy didn't reference,his,3.8259012699127197
OneEmbedding,isn't knowing,didn't reference,8,8_MF_his,mf,MatchMismatch,poss,Scott isn't knowing that Kristen didn't reference,his,5.623249053955078
OneEmbedding,isn't knowing,didn't reference,8,8_FM_his,fm,MismatchMatch,poss,Stacy isn't knowing that Guy didn't reference,his,3.710292339324951
OneEmbedding,isn't knowing,didn't reference,8,8_FF_his,ff,MismatchMismatch,poss,Stacy isn't knowing that Kristen didn't reference,his,5.929245471954346
OneEmbedding,hasn't discovered,forgave,9,9_MM_him,mm,MatchMatch,obj,Walter hasn't discovered that Curtis forgave,him,1.3128198385238647
OneEmbedding,hasn't discovered,forgave,9,9_MF_him,mf,MatchMismatch,obj,Walter hasn't discovered that Jill forgave,him,0.9470173120498657
OneEmbedding,hasn't discovered,forgave,9,9_FM_him,fm,MismatchMatch,obj,Sharon hasn't discovered that Curtis forgave,him,1.4948487281799316
OneEmbedding,hasn't discovered,forgave,9,9_FF_him,ff,MismatchMismatch,obj,Sharon hasn't discovered that Jill forgave,him,1.300769567489624
OneEmbedding,hasn't discovered,forgave,9,9_MM_his,mm,MatchMatch,poss,Walter hasn't discovered that Curtis forgave,his,3.9317550659179688
OneEmbedding,hasn't discovered,forgave,9,9_MF_his,mf,MatchMismatch,poss,Walter hasn't discovered that Jill forgave,his,6.060851573944092
OneEmbedding,hasn't discovered,forgave,9,9_FM_his,fm,MismatchMatch,poss,Sharon hasn't discovered that Curtis forgave,his,4.052277565002441
OneEmbedding,hasn't discovered,forgave,9,9_FF_his,ff,MismatchMismatch,poss,Sharon hasn't discovered that Jill forgave,his,6.310422897338867
OneEmbedding,agreed,astounds,10,10_MM_him,mm,MatchMatch,obj,This guy agreed that Mark astounds,him,5.88651704788208
OneEmbedding,agreed,astounds,10,10_MF_him,mf,MatchMismatch,obj,This guy agreed that Tracy astounds,him,5.34860897064209
OneEmbedding,agreed,astounds,10,10_FM_him,fm,MismatchMatch,obj,Meredith agreed that Mark astounds,him,4.807120323181152
OneEmbedding,agreed,astounds,10,10_FF_him,ff,MismatchMismatch,obj,Meredith agreed that Tracy astounds,him,4.941292762756348
OneEmbedding,agreed,astounds,10,10_MM_his,mm,MatchMatch,poss,This guy agreed that Mark astounds,his,7.1479172706604
OneEmbedding,agreed,astounds,10,10_MF_his,mf,MatchMismatch,poss,This guy agreed that Tracy astounds,his,8.100958824157715
OneEmbedding,agreed,astounds,10,10_FM_his,fm,MismatchMatch,poss,Meredith agreed that Mark astounds,his,5.565726280212402
OneEmbedding,agreed,astounds,10,10_FF_his,ff,MismatchMismatch,poss,Meredith agreed that Tracy astounds,his,7.30299711227417
OneEmbedding,claimed,isn't shocking,11,11_MM_him,mm,MatchMatch,obj,Guy claimed that Aaron isn't shocking,him,4.490205764770508
OneEmbedding,claimed,isn't shocking,11,11_MF_him,mf,MatchMismatch,obj,Guy claimed that the woman isn't shocking,him,2.613394021987915
OneEmbedding,claimed,isn't shocking,11,11_FM_him,fm,MismatchMatch,obj,Jill claimed that Aaron isn't shocking,him,4.754708290100098
OneEmbedding,claimed,isn't shocking,11,11_FF_him,ff,MismatchMismatch,obj,Jill claimed that the woman isn't shocking,him,3.364039182662964
OneEmbedding,claimed,isn't shocking,11,11_MM_his,mm,MatchMatch,poss,Guy claimed that Aaron isn't shocking,his,4.931020736694336
