exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-neo-125M_surp
About,shouldn't confuse,0,0_M_him,m,Match,obj,The book about Peter shouldn't confuse,him,3.76725172996521
About,shouldn't confuse,0,0_F_him,f,Mismatch,obj,The book about Michelle shouldn't confuse,him,5.990962028503418
About,shouldn't confuse,0,0_M_his,m,Match,poss,The book about Peter shouldn't confuse,his,5.009665489196777
About,shouldn't confuse,0,0_F_his,f,Mismatch,poss,The book about Michelle shouldn't confuse,his,7.844784736633301
About,confuses,1,1_M_him,m,Match,obj,The pamphlet about Todd confuses,him,7.2537713050842285
About,confuses,1,1_F_him,f,Mismatch,obj,The pamphlet about Kimberley confuses,him,7.518438816070557
About,confuses,1,1_M_his,m,Match,poss,The pamphlet about Todd confuses,his,4.7869391441345215
About,confuses,1,1_F_his,f,Mismatch,poss,The pamphlet about Kimberley confuses,his,6.678403377532959
About,embarrassed,2,2_M_him,m,Match,obj,The brochure about Bradley embarrassed,him,2.8135476112365723
About,embarrassed,2,2_F_him,f,Mismatch,obj,The brochure about Holly embarrassed,him,3.1290764808654785
About,embarrassed,2,2_M_his,m,Match,poss,The brochure about Bradley embarrassed,his,5.001661777496338
About,embarrassed,2,2_F_his,f,Mismatch,poss,The brochure about Holly embarrassed,his,6.383143424987793
About,was hindering,3,3_M_him,m,Match,obj,The play about Todd was hindering,him,3.21540904045105
About,was hindering,3,3_F_him,f,Mismatch,obj,The play about that mother was hindering,him,3.508977174758911
About,was hindering,3,3_M_his,m,Match,poss,The play about Todd was hindering,his,2.9801037311553955
About,was hindering,3,3_F_his,f,Mismatch,poss,The play about that mother was hindering,his,4.917051792144775
About,wouldn't hinder,4,4_M_him,m,Match,obj,The movie about Eric wouldn't hinder,him,2.9926042556762695
About,wouldn't hinder,4,4_F_him,f,Mismatch,obj,The movie about Elizabeth wouldn't hinder,him,3.8049306869506836
About,wouldn't hinder,4,4_M_his,m,Match,poss,The movie about Eric wouldn't hinder,his,2.9066171646118164
About,wouldn't hinder,4,4_F_his,f,Mismatch,poss,The movie about Elizabeth wouldn't hinder,his,4.373130798339844
About,should upset,5,5_M_him,m,Match,obj,The newspaper article about Steven should upset,him,3.683866262435913
About,should upset,5,5_F_him,f,Mismatch,obj,The newspaper article about Kirsten should upset,him,4.508347034454346
About,should upset,5,5_M_his,m,Match,poss,The newspaper article about Steven should upset,his,5.022875785827637
About,should upset,5,5_F_his,f,Mismatch,poss,The newspaper article about Kirsten should upset,his,6.559696197509766
About,was impressing,6,6_M_him,m,Match,obj,The story about Donald was impressing,him,3.906092643737793
About,was impressing,6,6_F_him,f,Mismatch,obj,The story about Sarah was impressing,him,4.063943862915039
About,was impressing,6,6_M_his,m,Match,poss,The story about Donald was impressing,his,5.699828624725342
About,was impressing,6,6_F_his,f,Mismatch,poss,The story about Sarah was impressing,his,7.83881139755249
About,did disturb,7,7_M_him,m,Match,obj,The essay about Craig did disturb,him,4.561575412750244
About,did disturb,7,7_F_him,f,Mismatch,obj,The essay about Tara did disturb,him,4.346862316131592
About,did disturb,7,7_M_his,m,Match,poss,The essay about Craig did disturb,his,5.0102925300598145
About,did disturb,7,7_F_his,f,Mismatch,poss,The essay about Tara did disturb,his,5.726877212524414
About,alarmed,8,8_M_him,m,Match,obj,The report about Samuel alarmed,him,3.4097414016723633
About,alarmed,8,8_F_him,f,Mismatch,obj,The report about Nicole alarmed,him,3.942399501800537
About,alarmed,8,8_M_his,m,Match,poss,The report about Samuel alarmed,his,4.9744720458984375
About,alarmed,8,8_F_his,f,Mismatch,poss,The report about Nicole alarmed,his,6.044732093811035
About,should shock,9,9_M_him,m,Match,obj,The documentary about Daniel should shock,him,5.550144195556641
About,should shock,9,9_F_him,f,Mismatch,obj,The documentary about the ex-wife should shock,him,6.17810583114624
About,should shock,9,9_M_his,m,Match,poss,The documentary about Daniel should shock,his,6.245718479156494
About,should shock,9,9_F_his,f,Mismatch,poss,The documentary about the ex-wife should shock,his,6.950594902038574
About,disgusts,10,10_M_him,m,Match,obj,The commentary about Mitchell disgusts,him,4.2965497970581055
About,disgusts,10,10_F_him,f,Mismatch,obj,The commentary about Sarah disgusts,him,4.473511695861816
About,disgusts,10,10_M_his,m,Match,poss,The commentary about Mitchell disgusts,his,6.373763561248779
About,disgusts,10,10_F_his,f,Mismatch,poss,The commentary about Sarah disgusts,his,8.041947364807129
