exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,model,surp
About,shouldn't confuse,0,0_M_him,m,Match,obj,The book about Peter shouldn't confuse,him,gpt2-medium,3.662832021713257
About,shouldn't confuse,0,0_F_him,f,Mismatch,obj,The book about Michelle shouldn't confuse,him,gpt2-medium,6.019468307495117
About,shouldn't confuse,0,0_M_his,m,Match,poss,The book about Peter shouldn't confuse,his,gpt2-medium,6.866056442260742
About,shouldn't confuse,0,0_F_his,f,Mismatch,poss,The book about Michelle shouldn't confuse,his,gpt2-medium,8.831089973449707
About,confuses,1,1_M_him,m,Match,obj,The pamphlet about Todd confuses,him,gpt2-medium,4.217501163482666
About,confuses,1,1_F_him,f,Mismatch,obj,The pamphlet about Kimberley confuses,him,gpt2-medium,6.359537124633789
About,confuses,1,1_M_his,m,Match,poss,The pamphlet about Todd confuses,his,gpt2-medium,6.356129169464111
About,confuses,1,1_F_his,f,Mismatch,poss,The pamphlet about Kimberley confuses,his,gpt2-medium,8.528268814086914
About,embarrassed,2,2_M_him,m,Match,obj,The brochure about Bradley embarrassed,him,gpt2-medium,2.5934243202209477
About,embarrassed,2,2_F_him,f,Mismatch,obj,The brochure about Holly embarrassed,him,gpt2-medium,3.421344995498657
About,embarrassed,2,2_M_his,m,Match,poss,The brochure about Bradley embarrassed,his,gpt2-medium,6.030919551849365
About,embarrassed,2,2_F_his,f,Mismatch,poss,The brochure about Holly embarrassed,his,gpt2-medium,6.985068321228027
About,was hindering,3,3_M_him,m,Match,obj,The play about Todd was hindering,him,gpt2-medium,4.506237983703613
About,was hindering,3,3_F_him,f,Mismatch,obj,The play about that mother was hindering,him,gpt2-medium,4.556578636169434
About,was hindering,3,3_M_his,m,Match,poss,The play about Todd was hindering,his,gpt2-medium,3.5597994327545166
About,was hindering,3,3_F_his,f,Mismatch,poss,The play about that mother was hindering,his,gpt2-medium,5.059097766876221
About,wouldn't hinder,4,4_M_him,m,Match,obj,The movie about Eric wouldn't hinder,him,gpt2-medium,4.749729633331299
About,wouldn't hinder,4,4_F_him,f,Mismatch,obj,The movie about Elizabeth wouldn't hinder,him,gpt2-medium,5.216146469116211
About,wouldn't hinder,4,4_M_his,m,Match,poss,The movie about Eric wouldn't hinder,his,gpt2-medium,4.45426082611084
About,wouldn't hinder,4,4_F_his,f,Mismatch,poss,The movie about Elizabeth wouldn't hinder,his,gpt2-medium,5.301570892333984
About,should upset,5,5_M_him,m,Match,obj,The newspaper article about Steven should upset,him,gpt2-medium,3.861818790435791
About,should upset,5,5_F_him,f,Mismatch,obj,The newspaper article about Kirsten should upset,him,gpt2-medium,5.385895252227783
About,should upset,5,5_M_his,m,Match,poss,The newspaper article about Steven should upset,his,gpt2-medium,7.051274299621582
About,should upset,5,5_F_his,f,Mismatch,poss,The newspaper article about Kirsten should upset,his,gpt2-medium,8.733541488647461
About,was impressing,6,6_M_him,m,Match,obj,The story about Donald was impressing,him,gpt2-medium,5.381774425506592
About,was impressing,6,6_F_him,f,Mismatch,obj,The story about Sarah was impressing,him,gpt2-medium,7.156524181365967
About,was impressing,6,6_M_his,m,Match,poss,The story about Donald was impressing,his,gpt2-medium,7.711811542510986
About,was impressing,6,6_F_his,f,Mismatch,poss,The story about Sarah was impressing,his,gpt2-medium,10.157618522644045
About,did disturb,7,7_M_him,m,Match,obj,The essay about Craig did disturb,him,gpt2-medium,5.012493133544922
About,did disturb,7,7_F_him,f,Mismatch,obj,The essay about Tara did disturb,him,gpt2-medium,5.869390964508057
About,did disturb,7,7_M_his,m,Match,poss,The essay about Craig did disturb,his,gpt2-medium,7.884581089019775
About,did disturb,7,7_F_his,f,Mismatch,poss,The essay about Tara did disturb,his,gpt2-medium,9.063766479492188
About,alarmed,8,8_M_him,m,Match,obj,The report about Samuel alarmed,him,gpt2-medium,2.9357409477233887
About,alarmed,8,8_F_him,f,Mismatch,obj,The report about Nicole alarmed,him,gpt2-medium,3.971883773803711
About,alarmed,8,8_M_his,m,Match,poss,The report about Samuel alarmed,his,gpt2-medium,5.624273300170898
About,alarmed,8,8_F_his,f,Mismatch,poss,The report about Nicole alarmed,his,gpt2-medium,7.0045905113220215
About,should shock,9,9_M_him,m,Match,obj,The documentary about Daniel should shock,him,gpt2-medium,9.085693359375
About,should shock,9,9_F_him,f,Mismatch,obj,The documentary about the ex-wife should shock,him,gpt2-medium,8.796967506408691
About,should shock,9,9_M_his,m,Match,poss,The documentary about Daniel should shock,his,gpt2-medium,9.18418312072754
About,should shock,9,9_F_his,f,Mismatch,poss,The documentary about the ex-wife should shock,his,gpt2-medium,8.996676445007324
About,disgusts,10,10_M_him,m,Match,obj,The commentary about Mitchell disgusts,him,gpt2-medium,5.250941753387451
