exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-neo-125M_surp
TwoEmbedding,tells,understood,0,0_MMM_him,mmm,MatchMatchMatch,obj,Bill tells Stephen that Gerald understood,him,5.947580337524414
TwoEmbedding,tells,understood,0,0_MMF_him,mmf,MatchMatchMismatch,obj,Bill tells Stephen that Ann understood,him,5.103643894195557
TwoEmbedding,tells,understood,0,0_MFM_him,mfm,MatchMismatchMatch,obj,Bill tells Stacy that Gerald understood,him,6.630405902862549
TwoEmbedding,tells,understood,0,0_MFF_him,mff,MatchMismatchMismatch,obj,Bill tells Stacy that Ann understood,him,5.699627876281738
TwoEmbedding,tells,understood,0,0_FMM_him,fmm,MismatchMatchMatch,obj,Lori tells Stephen that Gerald understood,him,5.83262300491333
TwoEmbedding,tells,understood,0,0_FMF_him,fmf,MismatchMatchMismatch,obj,Lori tells Stephen that Ann understood,him,4.724514484405518
TwoEmbedding,tells,understood,0,0_FFM_him,ffm,MismatchMismatchMatch,obj,Lori tells Stacy that Gerald understood,him,6.232417106628418
TwoEmbedding,tells,understood,0,0_FFF_him,fff,MismatchMismatchMismatch,obj,Lori tells Stacy that Ann understood,him,5.4213690757751465
TwoEmbedding,tells,understood,0,0_MMM_his,mmm,MatchMatchMatch,poss,Bill tells Stephen that Gerald understood,his,4.43718957901001
TwoEmbedding,tells,understood,0,0_MMF_his,mmf,MatchMatchMismatch,poss,Bill tells Stephen that Ann understood,his,5.153173923492432
TwoEmbedding,tells,understood,0,0_MFM_his,mfm,MatchMismatchMatch,poss,Bill tells Stacy that Gerald understood,his,4.798366069793701
TwoEmbedding,tells,understood,0,0_MFF_his,mff,MatchMismatchMismatch,poss,Bill tells Stacy that Ann understood,his,5.619159698486328
TwoEmbedding,tells,understood,0,0_FMM_his,fmm,MismatchMatchMatch,poss,Lori tells Stephen that Gerald understood,his,4.635694980621338
TwoEmbedding,tells,understood,0,0_FMF_his,fmf,MismatchMatchMismatch,poss,Lori tells Stephen that Ann understood,his,5.3020920753479
TwoEmbedding,tells,understood,0,0_FFM_his,ffm,MismatchMismatchMatch,poss,Lori tells Stacy that Gerald understood,his,4.943597316741943
TwoEmbedding,tells,understood,0,0_FFF_his,fff,MismatchMismatchMismatch,poss,Lori tells Stacy that Ann understood,his,5.763627052307129
TwoEmbedding,shows,visited,1,1_MMM_him,mmm,MatchMatchMatch,obj,Jason shows Russell that this boy visited,him,3.2289211750030518
TwoEmbedding,shows,visited,1,1_MMF_him,mmf,MatchMatchMismatch,obj,Jason shows Russell that Judy visited,him,2.1215412616729736
TwoEmbedding,shows,visited,1,1_MFM_him,mfm,MatchMismatchMatch,obj,Jason shows Ruth that this boy visited,him,3.0183944702148438
TwoEmbedding,shows,visited,1,1_MFF_him,mff,MatchMismatchMismatch,obj,Jason shows Ruth that Judy visited,him,2.5215563774108887
TwoEmbedding,shows,visited,1,1_FMM_him,fmm,MismatchMatchMatch,obj,Carolyn shows Russell that this boy visited,him,3.5915913581848145
TwoEmbedding,shows,visited,1,1_FMF_him,fmf,MismatchMatchMismatch,obj,Carolyn shows Russell that Judy visited,him,2.641476631164551
TwoEmbedding,shows,visited,1,1_FFM_him,ffm,MismatchMismatchMatch,obj,Carolyn shows Ruth that this boy visited,him,3.80731463432312
TwoEmbedding,shows,visited,1,1_FFF_him,fff,MismatchMismatchMismatch,obj,Carolyn shows Ruth that Judy visited,him,4.685189723968506
TwoEmbedding,shows,visited,1,1_MMM_his,mmm,MatchMatchMatch,poss,Jason shows Russell that this boy visited,his,3.457625150680542
TwoEmbedding,shows,visited,1,1_MMF_his,mmf,MatchMatchMismatch,poss,Jason shows Russell that Judy visited,his,4.232714653015137
TwoEmbedding,shows,visited,1,1_MFM_his,mfm,MatchMismatchMatch,poss,Jason shows Ruth that this boy visited,his,3.6650688648223877
TwoEmbedding,shows,visited,1,1_MFF_his,mff,MatchMismatchMismatch,poss,Jason shows Ruth that Judy visited,his,5.225765228271484
TwoEmbedding,shows,visited,1,1_FMM_his,fmm,MismatchMatchMatch,poss,Carolyn shows Russell that this boy visited,his,3.8463218212127686
TwoEmbedding,shows,visited,1,1_FMF_his,fmf,MismatchMatchMismatch,poss,Carolyn shows Russell that Judy visited,his,5.069896221160889
TwoEmbedding,shows,visited,1,1_FFM_his,ffm,MismatchMismatchMatch,poss,Carolyn shows Ruth that this boy visited,his,3.990098476409912
TwoEmbedding,shows,visited,1,1_FFF_his,fff,MismatchMismatchMismatch,poss,Carolyn shows Ruth that Judy visited,his,7.30271053314209
TwoEmbedding,warns,can't astound,2,2_MMM_him,mmm,MatchMatchMatch,obj,Adam warns the guy that Vincent can't astound,him,1.7647151947021484
TwoEmbedding,warns,can't astound,2,2_MMF_him,mmf,MatchMatchMismatch,obj,Adam warns the guy that Sara can't astound,him,1.6515278816223145
TwoEmbedding,warns,can't astound,2,2_MFM_him,mfm,MatchMismatchMatch,obj,Adam warns Christina that Vincent can't astound,him,2.5172901153564453
TwoEmbedding,warns,can't astound,2,2_MFF_him,mff,MatchMismatchMismatch,obj,Adam warns Christina that Sara can't astound,him,2.9381299018859863
TwoEmbedding,warns,can't astound,2,2_FMM_him,fmm,MismatchMatchMatch,obj,Amanda warns the guy that Vincent can't astound,him,1.5353988409042358
TwoEmbedding,warns,can't astound,2,2_FMF_him,fmf,MismatchMatchMismatch,obj,Amanda warns the guy that Sara can't astound,him,1.701245665550232
TwoEmbedding,warns,can't astound,2,2_FFM_him,ffm,MismatchMismatchMatch,obj,Amanda warns Christina that Vincent can't astound,him,2.061849355697632
TwoEmbedding,warns,can't astound,2,2_FFF_him,fff,MismatchMismatchMismatch,obj,Amanda warns Christina that Sara can't astound,him,3.1250133514404297
TwoEmbedding,warns,can't astound,2,2_MMM_his,mmm,MatchMatchMatch,poss,Adam warns the guy that Vincent can't astound,his,5.130607604980469
TwoEmbedding,warns,can't astound,2,2_MMF_his,mmf,MatchMatchMismatch,poss,Adam warns the guy that Sara can't astound,his,6.823271751403809
