exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-large_surp
simple,understood,0,0_M_him,m,Match,obj,Gerald understood,him,8.88835334777832
simple,understood,0,0_M_his,m,Match,poss,Gerald understood,his,5.063634872436523
simple,understood,0,0_F_him,f,Mismatch,obj,Ann understood,him,8.174076080322266
simple,understood,0,0_F_his,f,Mismatch,poss,Ann understood,his,5.9015960693359375
simple,visited,1,1_M_him,m,Match,obj,This boy visited,him,5.769639492034912
simple,visited,1,1_M_his,m,Match,poss,This boy visited,his,4.606478214263916
simple,visited,1,1_F_him,f,Mismatch,obj,Judy visited,him,5.642826557159424
simple,visited,1,1_F_his,f,Mismatch,poss,Judy visited,his,5.949505805969238
simple,can't astound,2,2_M_him,m,Match,obj,Vincent can't astound,him,6.230681419372559
simple,can't astound,2,2_M_his,m,Match,poss,Vincent can't astound,his,7.406736850738525
simple,can't astound,2,2_F_him,f,Mismatch,obj,Sara can't astound,him,5.9908766746521
simple,can't astound,2,2_F_his,f,Mismatch,poss,Sara can't astound,his,7.77034330368042
simple,fired,3,3_M_him,m,Match,obj,Marcus fired,him,6.358975410461426
simple,fired,3,3_M_his,m,Match,poss,Marcus fired,his,3.670043706893921
simple,fired,3,3_F_him,f,Mismatch,obj,Naomi fired,him,5.972275733947754
simple,fired,3,3_F_his,f,Mismatch,poss,Naomi fired,his,6.099550247192383
simple,returns to,4,4_M_him,m,Match,obj,Eric returns to,him,9.326918601989746
simple,returns to,4,4_M_his,m,Match,poss,Eric returns to,his,3.4968695640563965
simple,returns to,4,4_F_him,f,Mismatch,obj,Tracy returns to,him,8.95895767211914
simple,returns to,4,4_F_his,f,Mismatch,poss,Tracy returns to,his,4.725739002227783
simple,wasn't alarming,5,5_M_him,m,Match,obj,Scott wasn't alarming,him,5.686575889587402
simple,wasn't alarming,5,5_M_his,m,Match,poss,Scott wasn't alarming,his,6.674711227416992
simple,wasn't alarming,5,5_F_him,f,Mismatch,obj,Alice wasn't alarming,him,6.651364326477051
simple,wasn't alarming,5,5_F_his,f,Mismatch,poss,Alice wasn't alarming,his,9.390388488769531
simple,was investigating,6,6_M_him,m,Match,obj,Adam was investigating,him,8.034158706665039
simple,was investigating,6,6_M_his,m,Match,poss,Adam was investigating,his,6.289970874786377
simple,was investigating,6,6_F_him,f,Mismatch,obj,Victoria was investigating,him,7.600067138671875
simple,was investigating,6,6_F_his,f,Mismatch,poss,Victoria was investigating,his,7.311733722686768
simple,can reference,7,7_M_him,m,Match,obj,This husband can reference,him,7.636794090270996
simple,can reference,7,7_M_his,m,Match,poss,This husband can reference,his,4.004017353057861
simple,can reference,7,7_F_him,f,Mismatch,obj,Jodi can reference,him,8.611502647399902
simple,can reference,7,7_F_his,f,Mismatch,poss,Jodi can reference,his,7.703128337860107
simple,didn't reference,8,8_M_him,m,Match,obj,Guy didn't reference,him,6.319026947021484
simple,didn't reference,8,8_M_his,m,Match,poss,Guy didn't reference,his,5.45017671585083
simple,didn't reference,8,8_F_him,f,Mismatch,obj,Kristen didn't reference,him,6.60685920715332
simple,didn't reference,8,8_F_his,f,Mismatch,poss,Kristen didn't reference,his,5.864828586578369
simple,forgave,9,9_M_him,m,Match,obj,Curtis forgave,him,2.620013475418091
simple,forgave,9,9_M_his,m,Match,poss,Curtis forgave,his,4.714443206787109
simple,forgave,9,9_F_him,f,Mismatch,obj,Jill forgave,him,2.532482385635376
simple,forgave,9,9_F_his,f,Mismatch,poss,Jill forgave,his,6.617537975311279
simple,astounds,10,10_M_him,m,Match,obj,Mark astounds,him,7.309381008148193
simple,astounds,10,10_M_his,m,Match,poss,Mark astounds,his,6.6648945808410645
simple,astounds,10,10_F_him,f,Mismatch,obj,Tracy astounds,him,5.165899276733398
simple,astounds,10,10_F_his,f,Mismatch,poss,Tracy astounds,his,6.928530693054199
simple,isn't shocking,11,11_M_him,m,Match,obj,Aaron isn't shocking,him,9.023138046264648
simple,isn't shocking,11,11_M_his,m,Match,poss,Aaron isn't shocking,his,9.933869361877441
simple,isn't shocking,11,11_F_him,f,Mismatch,obj,The woman isn't shocking,him,5.7073822021484375
simple,isn't shocking,11,11_F_his,f,Mismatch,poss,The woman isn't shocking,his,10.92281723022461
simple,has boasted about,12,12_M_him,m,Match,obj,Larry has boasted about,him,9.288609504699707
simple,has boasted about,12,12_M_his,m,Match,poss,Larry has boasted about,his,1.7041239738464355
simple,has boasted about,12,12_F_him,f,Mismatch,obj,Helen has boasted about,him,8.648137092590332
simple,has boasted about,12,12_F_his,f,Mismatch,poss,Helen has boasted about,his,5.269263744354248
simple,leads,13,13_M_him,m,Match,obj,Brett leads,him,7.023811340332031
simple,leads,13,13_M_his,m,Match,poss,Brett leads,his,5.917486667633057
simple,leads,13,13_F_him,f,Mismatch,obj,That lady leads,him,5.9269514083862305
simple,leads,13,13_F_his,f,Mismatch,poss,That lady leads,his,9.140734672546387
simple,didn't shake,14,14_M_him,m,Match,obj,Robert didn't shake,him,5.574246406555176
simple,didn't shake,14,14_M_his,m,Match,poss,Robert didn't shake,his,2.3172881603240967
simple,didn't shake,14,14_F_him,f,Mismatch,obj,Carmen didn't shake,him,5.04411506652832
simple,didn't shake,14,14_F_his,f,Mismatch,poss,Carmen didn't shake,his,3.3957936763763428
simple,doesn't observe,15,15_M_him,m,Match,obj,Bill doesn't observe,him,10.342893600463867
simple,doesn't observe,15,15_M_his,m,Match,poss,Bill doesn't observe,his,6.354770660400391
simple,doesn't observe,15,15_F_him,f,Mismatch,obj,Heather doesn't observe,him,8.254494667053223
simple,doesn't observe,15,15_F_his,f,Mismatch,poss,Heather doesn't observe,his,7.772767543792725
simple,can't find,16,16_M_him,m,Match,obj,Peter can't find,him,6.900705337524414
simple,can't find,16,16_M_his,m,Match,poss,Peter can't find,his,3.647035598754883
simple,can't find,16,16_F_him,f,Mismatch,obj,Holly can't find,him,6.592332363128662
simple,can't find,16,16_F_his,f,Mismatch,poss,Holly can't find,his,5.606578350067139
simple,should hide,17,17_M_him,m,Match,obj,Joel should hide,him,7.624095439910889
simple,should hide,17,17_M_his,m,Match,poss,Joel should hide,his,2.992812395095825
simple,should hide,17,17_F_him,f,Mismatch,obj,Kirsten should hide,him,8.482474327087402
simple,should hide,17,17_F_his,f,Mismatch,poss,Kirsten should hide,his,5.6399383544921875
simple,had praised,18,18_M_him,m,Match,obj,Carl had praised,him,3.0001583099365234
simple,had praised,18,18_M_his,m,Match,poss,Carl had praised,his,4.138443470001221
simple,had praised,18,18_F_him,f,Mismatch,obj,Teresa had praised,him,3.284148693084717
simple,had praised,18,18_F_his,f,Mismatch,poss,Teresa had praised,his,4.865488052368164
simple,argued about,19,19_M_him,m,Match,obj,Benjamin argued about,him,8.973607063293457
simple,argued about,19,19_M_his,m,Match,poss,Benjamin argued about,his,5.546721935272217
simple,argued about,19,19_F_him,f,Mismatch,obj,Jodi argued about,him,7.1382293701171875
simple,argued about,19,19_F_his,f,Mismatch,poss,Jodi argued about,his,6.152210235595703
simple,isn't harming,20,20_M_him,m,Match,obj,Aaron isn't harming,him,6.5643815994262695
simple,isn't harming,20,20_M_his,m,Match,poss,Aaron isn't harming,his,4.515747547149658
simple,isn't harming,20,20_F_him,f,Mismatch,obj,Nina isn't harming,him,4.60585355758667
simple,isn't harming,20,20_F_his,f,Mismatch,poss,Nina isn't harming,his,7.253185272216797
simple,would hurt,21,21_M_him,m,Match,obj,William would hurt,him,4.870774745941162
simple,would hurt,21,21_M_his,m,Match,poss,William would hurt,his,4.409450531005859
simple,would hurt,21,21_F_him,f,Mismatch,obj,Christine would hurt,him,4.557370662689209
simple,would hurt,21,21_F_his,f,Mismatch,poss,Christine would hurt,his,5.656444549560547
simple,leaves,22,22_M_him,m,Match,obj,William leaves,him,8.949567794799805
