exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-j-6B_surp
TwoEmbedding,tells,understood,0,0_MMM_him,mmm,MatchMatchMatch,obj,Bill tells Stephen that Gerald understood,him,4.91111946105957
TwoEmbedding,tells,understood,0,0_MMF_him,mmf,MatchMatchMismatch,obj,Bill tells Stephen that Ann understood,him,5.713314056396484
TwoEmbedding,tells,understood,0,0_MFM_him,mfm,MatchMismatchMatch,obj,Bill tells Stacy that Gerald understood,him,5.846934795379639
TwoEmbedding,tells,understood,0,0_MFF_him,mff,MatchMismatchMismatch,obj,Bill tells Stacy that Ann understood,him,6.034482955932617
TwoEmbedding,tells,understood,0,0_FMM_him,fmm,MismatchMatchMatch,obj,Lori tells Stephen that Gerald understood,him,5.221395969390869
TwoEmbedding,tells,understood,0,0_FMF_him,fmf,MismatchMatchMismatch,obj,Lori tells Stephen that Ann understood,him,5.910593509674072
TwoEmbedding,tells,understood,0,0_FFM_him,ffm,MismatchMismatchMatch,obj,Lori tells Stacy that Gerald understood,him,7.0163092613220215
TwoEmbedding,tells,understood,0,0_FFF_him,fff,MismatchMismatchMismatch,obj,Lori tells Stacy that Ann understood,him,6.956209182739258
TwoEmbedding,tells,understood,0,0_MMM_his,mmm,MatchMatchMatch,poss,Bill tells Stephen that Gerald understood,his,3.885453224182129
TwoEmbedding,tells,understood,0,0_MMF_his,mmf,MatchMatchMismatch,poss,Bill tells Stephen that Ann understood,his,4.1579084396362305
TwoEmbedding,tells,understood,0,0_MFM_his,mfm,MatchMismatchMatch,poss,Bill tells Stacy that Gerald understood,his,4.26898717880249
TwoEmbedding,tells,understood,0,0_MFF_his,mff,MatchMismatchMismatch,poss,Bill tells Stacy that Ann understood,his,4.90737771987915
TwoEmbedding,tells,understood,0,0_FMM_his,fmm,MismatchMatchMatch,poss,Lori tells Stephen that Gerald understood,his,4.07174825668335
TwoEmbedding,tells,understood,0,0_FMF_his,fmf,MismatchMatchMismatch,poss,Lori tells Stephen that Ann understood,his,4.806030750274658
TwoEmbedding,tells,understood,0,0_FFM_his,ffm,MismatchMismatchMatch,poss,Lori tells Stacy that Gerald understood,his,4.390153408050537
TwoEmbedding,tells,understood,0,0_FFF_his,fff,MismatchMismatchMismatch,poss,Lori tells Stacy that Ann understood,his,6.133421897888184
TwoEmbedding,shows,visited,1,1_MMM_him,mmm,MatchMatchMatch,obj,Jason shows Russell that this boy visited,him,2.4703176021575928
TwoEmbedding,shows,visited,1,1_MMF_him,mmf,MatchMatchMismatch,obj,Jason shows Russell that Judy visited,him,1.8714264631271362
TwoEmbedding,shows,visited,1,1_MFM_him,mfm,MatchMismatchMatch,obj,Jason shows Ruth that this boy visited,him,3.420518636703491
